access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2510,622038,0,156,8804,0
2,438,33203,0,101,397,0
3,87,3395,0,18,21,0
4,47,3237,0,3,4,0
5,14,911,0,2,2,0
6,16,385,0,1,1,0
7,9,528,0,1,1,0
8,7,333,0,0,0,0
9,8,291,0,0,0,0
10,3,246,0,0,0,0
11,2,190,0,0,0,0
12,6,180,0,0,0,0
13,3,130,0,0,0,0
14,8,141,0,1,1,0
15,6,147,0,1,1,0
16,5,161,0,1,1,0
17,3,265,0,0,0,0
18,5,404,0,1,1,0
19,18,638,0,1,1,0
20,46,876,0,1,2,0
21,81,964,0,0,0,0
22,92,930,0,0,0,0
23,87,835,0,0,0,0
24,79,543,0,2,2,0
25,53,381,0,0,0,0
26,33,289,0,1,1,0
27,16,239,0,0,0,0
28,13,193,0,0,0,0
29,17,162,0,0,0,0
30,9,158,0,0,0,0
31,6,149,0,0,0,0
32,4,167,0,0,0,0
33,6,167,0,0,0,0
34,4,175,0,0,0,0
35,3,212,0,0,0,0
36,5,163,0,0,0,0
37,5,175,0,0,0,0
38,5,158,0,0,0,0
39,5,131,0,0,0,0
40,5,108,0,1,1,0
41,9,96,0,0,0,0
42,6,60,0,0,0,0
43,7,69,0,0,0,0
44,6,63,0,1,1,0
45,14,60,0,0,0,0
46,6,46,0,0,0,0
47,4,53,0,0,0,0
48,4,43,0,0,0,0
49,2,30,228,0,0,0
50,4,40,1155,0,0,0
51,3,40,1251,0,0,0
52,1,26,1146,0,0,0
53,5,38,1071,0,0,0
54,1,24,990,0,0,0
55,4,30,957,0,0,0
56,4,39,882,0,0,0
57,1,31,897,0,0,0
58,1,22,795,0,0,0
59,3,47,654,0,0,0
60,3,26,636,0,0,0
61,3,31,672,0,0,0
62,3,21,564,0,0,0
63,1,18,564,0,0,0
64,5,21,573,0,0,0
65,2,20,525,0,0,0
66,2,11,432,0,0,0
67,3,25,366,0,0,0
68,3,16,348,0,0,0
69,2,14,360,0,0,0
70,2,20,366,0,0,0
71,3,26,321,0,0,0
72,2,23,336,0,0,0
73,1,13,420,0,0,0
74,0,20,330,0,0,0
75,2,19,312,0,0,0
76,0,22,294,0,0,0
77,2,18,228,0,0,0
78,1,16,273,0,0,0
79,2,16,288,0,0,0
80,1,19,297,0,0,0
81,0,12,321,0,0,0
82,0,9,276,0,0,0
83,0,15,279,0,0,0
84,1,11,270,0,0,0
85,3,13,318,0,0,0
86,1,17,249,0,0,0
87,0,10,279,0,0,0
88,1,10,270,0,0,0
89,1,13,249,0,0,0
90,0,5,207,0,0,0
91,2,6,201,0,0,0
92,1,11,189,0,0,0
93,1,10,180,0,0,0
94,3,11,222,0,0,0
95,1,11,150,0,0,0
96,0,7,186,0,0,0
97,1,12,132,0,0,0
98,0,10,150,0,0,0
99,1,7,114,0,0,0
100,0,3,162,0,0,0
101,0,9,159,0,0,0
102,1,7,195,0,0,0
103,1,14,138,0,0,0
104,1,15,165,0,0,0
105,1,8,186,0,0,0
106,0,10,138,0,0,0
107,1,7,153,0,0,0
108,0,2,132,0,0,0
109,0,1,147,0,0,0
110,0,5,129,0,0,0
111,0,6,120,0,0,0
112,2,11,120,0,0,0
113,2,10,123,0,5,0
114,1,4,144,0,86,0
115,1,6,159,0,330,0
116,0,6,168,2,850,0
117,0,3,147,26,1759,0
118,1,5,117,137,3202,0
119,1,6,132,313,5211,0
120,0,6,69,588,6805,0
121,0,0,153,962,7840,0
122,1,6,99,1459,9078,0
123,0,4,126,1856,9347,0
124,0,4,96,1833,8238,0
125,0,6,90,1762,6928,0
126,2,6,105,1488,5611,0
127,0,5,105,992,4398,0
128,0,4,105,690,3282,0
129,2,6,99,494,2727,0
130,0,1,111,442,2229,0
131,1,3,90,369,2164,0
132,1,5,108,318,2069,0
133,0,6,69,336,2119,0
134,0,0,117,361,2192,0
135,1,7,93,342,2061,0
136,0,5,99,317,2040,0
137,0,3,93,188,1665,0
138,0,2,87,211,1768,0
139,1,7,72,180,1724,0
140,1,8,87,216,1524,0
141,0,3,87,156,1391,0
142,0,5,105,174,1489,0
143,0,2,90,163,1339,0
144,0,2,96,191,1306,0
145,1,1,72,222,1368,0
146,1,6,57,190,1217,0
147,1,3,60,230,1319,0
148,0,2,57,178,1182,0
149,0,5,51,216,1235,0
150,0,5,60,132,1163,0
151,2,5,57,129,1063,0
152,0,2,66,110,989,0
153,2,3,84,126,1083,0
154,0,2,87,102,957,0
155,0,4,60,121,1024,0
156,0,1,66,112,1079,0
157,0,4,72,146,1080,0
158,1,2,39,127,916,0
159,1,4,66,91,753,0
160,1,1,51,73,740,0
161,1,3,51,39,731,0
162,0,3,42,96,754,0
163,0,2,51,146,789,0
164,0,1,66,149,842,0
165,0,3,72,146,866,0
166,0,0,24,72,670,0
167,0,1,51,94,821,0
168,0,1,51,57,703,0
169,1,5,36,101,639,0
170,0,2,57,108,761,0
171,0,0,48,70,678,0
172,0,2,36,138,863,0
173,0,2,57,109,794,0
174,0,4,33,86,864,0
175,0,2,45,125,916,0
176,0,1,45,108,791,0
177,0,2,33,88,708,0
178,0,0,39,66,667,0
179,0,1,33,124,793,0
180,0,2,45,91,753,0
181,0,0,45,96,595,0
182,0,1,36,72,726,0
183,0,1,54,108,630,0
184,0,1,45,51,524,0
185,0,1,42,93,707,0
186,0,0,33,53,655,0
187,0,2,39,98,615,0
188,1,2,27,126,714,0
189,0,1,48,80,585,0
190,0,2,51,85,603,0
191,0,1,36,71,500,0
192,0,0,33,47,419,0
193,0,1,57,82,559,0
194,1,2,27,60,541,0
195,0,1,39,28,511,0
196,0,4,54,61,580,0
197,0,0,30,44,564,0
198,2,4,27,64,496,0
199,0,1,39,81,605,0
200,1,2,33,99,574,0
201,0,2,30,83,464,0
202,0,0,30,58,396,0
203,0,4,39,26,397,0
204,1,1,33,36,514,0
205,0,0,24,103,551,0
206,0,2,63,65,591,0
207,0,0,30,32,613,0
208,0,2,42,27,555,0
209,1,4,42,63,526,0
210,0,7,27,26,556,0
211,0,1,33,77,556,0
212,0,3,42,106,566,0
213,0,0,30,90,582,0
214,0,4,27,48,480,0
215,0,4,24,52,552,0
216,1,2,24,37,472,0
217,0,2,24,68,494,0
218,0,5,21,70,483,0
219,0,1,48,45,551,0
220,0,0,15,80,542,0
221,0,0,30,51,402,0
222,0,1,60,45,382,0
223,0,1,21,36,346,0
224,0,1,30,71,421,0
225,0,4,12,46,505,0
226,0,0,24,56,444,0
227,0,1,21,73,528,0
228,0,2,27,72,626,0
229,0,0,36,52,510,0
230,0,1,15,70,449,0
231,0,2,21,80,475,0
232,0,0,33,34,376,0
233,0,0,18,61,354,0
234,1,2,36,37,287,0
235,0,2,27,71,337,0
236,1,4,21,31,405,0
237,0,0,21,63,410,0
238,0,3,15,73,401,0
239,0,4,18,85,493,0
240,0,4,21,62,419,0
241,0,0,27,67,400,0
242,0,1,30,75,400,0
243,0,3,33,81,407,0
244,0,7,15,74,509,0
245,0,3,15,52,366,0
246,0,4,15,31,337,0
247,1,4,21,30,285,0
248,1,2,33,82,290,0
249,0,2,15,60,354,0
250,0,1,24,28,262,0
251,0,0,21,40,290,0
252,0,1,24,52,349,0
253,0,1,9,111,409,0
254,0,1,27,123,367,0
255,0,1,24,96,466,0
256,0,0,9,44,364,0
257,0,1,9,45,332,0
258,0,0,15,60,450,0
259,0,1,12,65,342,0
260,0,0,24,59,390,0
261,1,2,18,72,345,0
262,0,0,24,67,221,0
263,0,0,9,30,234,0
264,0,0,6,59,303,0
265,0,0,9,43,322,0
266,0,0,15,36,354,0
267,0,1,18,60,317,0
268,0,1,21,60,299,0
269,0,0,18,42,255,0
270,0,0,18,79,321,0
271,0,1,9,38,242,0
272,0,1,15,32,276,0
273,0,0,21,24,225,0
274,0,0,9,25,242,0
275,0,0,21,65,269,0
276,0,1,24,71,272,0
277,0,0,18,22,227,0
278,0,0,21,53,251,0
279,0,0,12,50,305,0
280,0,2,21,66,308,0
281,0,0,39,18,203,0
282,0,0,12,24,309,0
283,0,1,15,38,264,0
284,0,0,21,32,340,0
285,0,1,15,38,264,0
286,0,0,18,48,232,0
287,0,0,6,65,256,0
