access,astar,full-frame
1,621582,8758
2,33254,395
3,3399,21
4,3090,4
5,872,2
6,392,1
7,528,1
8,323,0
9,290,0
10,243,0
11,184,0
12,189,0
13,130,0
14,128,1
15,122,1
16,123,1
17,246,0
18,382,1
19,585,1
20,832,2
21,907,0
22,863,0
23,793,0
24,632,2
25,458,0
26,309,1
27,219,0
28,157,0
29,142,0
30,143,0
31,167,0
32,189,0
33,161,0
34,181,0
35,209,0
36,196,0
37,170,0
38,181,0
39,160,0
40,123,1
41,97,0
42,76,0
43,57,0
44,70,1
45,69,0
46,49,0
47,56,0
48,43,0
49,39,0
50,44,0
51,32,0
52,35,0
53,37,0
54,27,0
55,24,0
56,37,0
57,28,0
58,24,0
59,39,0
60,25,0
61,33,0
62,32,0
63,32,0
64,20,0
65,16,0
66,11,0
67,17,0
68,19,0
69,19,0
70,21,0
71,28,0
72,22,0
73,14,0
74,25,0
75,19,0
76,15,0
77,20,0
78,16,0
79,11,0
80,23,0
81,16,0
82,11,0
83,15,0
84,12,0
85,8,0
86,15,0
87,12,0
88,7,0
89,20,0
90,5,0
91,4,0
92,12,0
93,11,0
94,14,0
95,13,0
96,4,0
97,14,0
98,6,0
99,5,0
100,7,0
101,7,0
102,4,0
103,9,0
104,18,0
105,8,0
106,8,0
107,6,0
108,1,0
109,5,0
110,4,0
111,7,0
112,5,0
113,6,25
114,7,211
115,8,673
116,2,1295
117,6,2603
118,7,4688
119,2,6493
120,4,8196
121,1,8786
122,7,10024
123,7,9882
124,3,8494
125,3,6963
126,9,5806
127,3,4501
128,4,3172
129,7,2842
130,4,2373
131,2,2373
132,2,2392
133,7,2319
134,2,2442
135,5,2132
136,3,2182
137,2,1798
138,3,1967
139,2,1758
140,8,1629
141,3,1507
142,3,1471
143,6,1387
144,4,1421
145,4,1431
146,2,1285
147,6,1361
148,3,1197
149,3,1288
150,3,1268
151,5,1128
152,5,1101
153,3,1142
154,1,933
155,4,1102
156,3,1108
157,4,1086
158,2,932
159,2,835
160,4,778
161,1,743
162,3,868
163,1,834
164,2,912
165,5,885
166,3,765
167,2,789
168,0,711
169,1,694
170,2,883
171,2,746
172,0,984
173,2,829
174,6,874
175,5,957
176,2,868
177,1,698
178,1,670
179,1,834
180,3,818
181,1,704
182,0,703
183,3,684
184,0,556
185,0,839
186,1,727
187,1,628
188,2,696
189,0,563
190,1,586
191,1,537
192,1,456
193,1,623
194,3,537
195,1,516
196,2,600
197,2,576
198,1,655
199,1,685
200,2,589
201,2,497
202,3,462
203,2,455
204,3,601
205,0,539
206,1,614
207,1,678
208,1,618
209,4,569
210,7,526
211,0,548
212,3,616
213,3,596
214,6,559
215,3,548
216,0,463
217,1,589
218,4,501
219,2,477
220,0,508
221,0,429
222,2,355
223,1,294
224,2,476
225,0,550
226,0,427
227,2,554
228,2,574
229,0,485
230,1,416
231,4,551
232,2,408
233,1,394
234,1,378
235,1,389
236,2,363
237,2,352
238,1,401
239,3,483
240,3,405
241,3,414
242,1,449
243,3,375
244,4,501
245,6,368
246,3,335
247,6,258
248,1,338
249,2,347
250,1,252
251,2,361
252,0,397
253,2,337
254,1,421
255,0,417
256,0,360
257,1,391
258,1,412
259,1,320
260,0,317
261,1,369
262,1,272
263,0,260
264,0,333
265,0,294
266,0,285
267,0,278
268,1,305
269,1,280
270,0,360
271,0,281
272,2,276
273,0,277
274,0,317
275,0,306
276,1,333
277,0,226
278,0,282
279,0,277
280,1,283
281,1,212
282,0,326
283,0,303
284,1,389
285,0,250
286,0,243
287,0,277
288,0,328
289,1,295
290,0,332
291,1,275
292,1,300
293,2,231
294,0,260
295,1,270
296,1,306
297,0,286
298,0,298
299,0,357
300,0,277
301,1,359
302,0,280
303,1,278
304,1,286
305,0,294
306,1,255
307,2,465
308,0,333
309,1,371
310,0,267
311,0,212
312,1,248
313,0,258
314,0,264
315,1,215
316,0,284
317,0,254
318,0,292
319,0,297
320,0,269
321,0,351
322,0,240
323,0,239
324,0,222
325,0,293
326,0,253
327,1,244
328,0,184
329,0,172
330,0,209
331,0,252
332,0,284
333,2,197
334,0,270
335,0,244
336,0,288
337,0,252
338,0,162
339,0,228
340,1,230
341,1,222
342,1,255
343,0,223
344,0,261
345,2,202
346,1,206
347,1,180
348,1,218
349,0,155
350,1,153
351,1,244
352,0,308
353,1,140
354,0,140
355,0,137
356,1,208
357,0,237
358,0,172
359,0,156
360,0,212
361,0,242
362,0,308
363,1,287
364,0,236
365,0,197
366,0,226
367,0,270
368,0,223
369,0,154
370,0,182
371,0,177
372,2,177
373,1,196
374,1,263
375,0,220
376,0,215
377,0,162
378,0,159
379,0,211
380,0,183
381,0,176
382,0,202
383,0,265
384,1,254
385,0,182
386,0,161
387,1,256
388,1,300
389,0,230
390,0,298
391,0,165
392,1,155
393,1,186
394,0,204
395,0,232
396,1,155
397,1,219
398,2,155
399,3,157
400,1,148
401,1,119
402,2,119
403,1,139
404,0,131
405,0,139
406,0,148
407,0,140
408,0,140
409,0,185
410,0,193
411,0,172
412,0,225
413,1,177
414,1,205
415,0,184
416,1,208
417,0,156
418,0,134
419,0,148
420,1,163
421,0,167
422,1,218
423,0,103
424,0,113
425,0,169
426,1,202
427,0,161
428,0,63
429,0,106
430,0,124
431,0,80
432,1,140
433,0,191
434,0,174
435,0,138
436,1,148
437,1,163
438,0,157
439,0,160
440,0,195
441,1,202
442,0,189
443,0,176
444,0,135
445,0,180
446,0,234
447,0,133
448,0,168
449,0,187
450,0,117
451,0,204
452,0,121
453,0,95
454,1,123
455,1,136
456,0,124
457,0,118
458,0,126
