access,astar,full frame
1,621229,8752
2,33273,398
3,3526,21
4,3089,4
5,897,2
6,413,1
7,511,1
8,331,0
9,287,0
10,238,0
11,192,0
12,184,0
13,129,0
14,127,1
15,123,1
16,134,1
17,250,0
18,384,1
19,620,1
20,851,2
21,890,0
22,863,0
23,787,0
24,614,2
25,466,0
26,306,1
27,217,0
28,139,0
29,151,0
30,154,0
31,187,0
32,173,0
33,181,0
34,175,0
35,223,0
36,190,0
37,175,0
38,180,0
39,148,0
40,115,1
41,85,0
42,84,0
43,67,0
44,66,1
45,72,0
46,45,0
47,59,0
48,37,0
49,37,0
50,46,0
51,33,0
52,28,0
53,51,0
54,26,0
55,23,0
56,39,0
57,24,0
58,24,0
59,42,0
60,30,0
61,29,0
62,31,0
63,20,0
64,26,0
65,11,0
66,12,0
67,23,0
68,22,0
69,13,0
70,22,0
71,31,0
72,18,0
73,11,0
74,28,0
75,16,0
76,15,0
77,24,0
78,12,0
79,11,0
80,28,0
81,13,0
82,8,0
83,20,0
84,8,0
85,10,0
86,14,0
87,13,0
88,10,0
89,19,0
90,4,0
91,2,0
92,14,0
93,7,0
94,17,0
95,12,0
96,7,0
97,9,0
98,10,0
99,6,0
100,6,0
101,5,0
102,7,0
103,12,0
104,15,0
105,10,0
106,6,0
107,4,0
108,5,0
109,5,0
110,7,0
111,7,0
112,6,0
113,9,20
114,8,183
115,2,635
116,5,1264
117,9,2494
118,4,4489
119,3,6304
120,4,8093
121,2,8650
122,7,9900
123,6,9884
124,3,8462
125,1,7002
126,10,5751
127,5,4536
128,5,3173
129,6,2852
130,3,2347
131,3,2299
132,5,2359
133,3,2252
134,2,2398
135,6,2153
136,2,2150
137,4,1755
138,3,1973
139,4,1753
140,5,1646
141,4,1493
142,6,1519
143,6,1408
144,7,1437
145,1,1415
146,3,1272
147,5,1386
148,3,1253
149,3,1279
150,2,1267
151,7,1156
152,2,1108
153,4,1172
154,1,903
155,4,1089
156,4,1132
157,3,1089
158,3,906
159,2,811
160,1,828
161,3,773
162,2,808
163,4,809
164,3,904
165,4,889
