access,astar,fullframe
1,620546,8766
2,33367,394
3,3537,22
4,3248,4
5,868,2
6,416,1
7,531,1
8,332,0
9,282,0
10,246,0
11,189,0
12,178,0
13,136,0
14,126,1
15,134,1
16,128,1
17,256,0
18,400,1
19,620,1
20,857,2
21,871,0
22,861,0
23,809,0
24,622,2
25,454,0
26,292,1
27,212,0
28,154,0
29,158,0
30,173,0
31,186,0
32,183,0
33,175,0
34,195,0
35,203,0
36,196,0
37,171,0
38,170,0
39,139,0
40,113,1
41,81,0
42,76,0
43,58,0
44,77,1
45,61,0
46,48,0
47,56,0
48,44,0
49,39,0
50,37,0
51,40,0
52,32,0
53,41,0
54,26,0
55,27,0
56,37,0
57,22,0
58,25,0
59,45,0
60,28,0
61,26,0
62,31,0
63,26,0
64,19,0
65,13,0
66,13,0
67,25,0
68,17,0
69,15,0
70,22,0
71,30,0
72,13,0
73,15,0
74,27,0
75,18,0
76,16,0
77,18,0
78,17,0
79,13,0
80,24,0
81,15,0
82,11,0
83,14,0
84,9,0
85,11,0
86,13,0
87,12,0
88,12,0
89,16,0
90,4,0
91,4,0
92,10,0
93,12,0
94,14,0
95,8,0
96,12,0
97,10,0
98,8,0
99,7,0
100,8,0
101,6,0
102,5,0
103,13,0
104,15,0
105,11,0
106,4,0
107,6,0
108,6,0
109,5,0
110,5,0
111,9,0
112,7,0
113,9,15
114,6,156
115,5,582
116,6,1153
117,6,2363
118,3,4259
119,2,6186
120,7,7939
121,2,8544
122,9,9837
123,3,9783
124,2,8497
125,2,7011
126,11,5692
127,5,4514
128,5,3213
129,6,2836
130,1,2325
131,3,2299
132,3,2307
133,6,2255
134,3,2373
135,5,2161
136,4,2161
137,3,1730
138,2,1954
139,7,1758
140,7,1596
141,4,1469
142,3,1574
143,5,1347
144,2,1439
145,3,1410
146,4,1276
147,6,1363
148,2,1210
149,4,1296
150,4,1256
151,4,1167
152,2,1048
153,3,1157
154,3,919
155,3,1090
156,4,1096
157,3,1060
158,2,895
159,1,792
160,1,769
161,4,750
162,2,821
163,2,831
164,5,890
165,2,931
166,1,726
167,0,802
168,1,718
169,2,681
170,1,835
171,1,705
172,3,932
173,3,858
174,4,889
175,3,957
176,2,828
177,0,675
178,1,742
179,1,812
180,3,766
181,0,658
182,1,718
183,1,643
184,1,559
185,1,792
186,0,700
187,2,662
188,1,693
189,1,551
190,1,621
191,1,545
192,1,494
193,1,624
194,1,514
195,1,523
196,3,618
197,3,588
198,1,555
199,0,654
200,4,529
201,3,450
202,2,417
203,0,442
204,2,609
205,1,597
206,1,647
207,0,642
208,1,588
209,5,617
210,6,586
211,2,539
212,2,594
213,0,630
214,6,555
215,3,601
216,1,454
217,2,512
218,2,476
219,3,559
220,0,576
221,2,434
222,1,409
223,1,340
224,2,453
225,0,498
226,3,418
227,2,562
228,2,615
229,1,478
230,0,437
231,2,502
232,0,360
233,1,384
234,2,348
235,0,384
236,2,430
237,1,438
238,3,478
239,2,561
240,5,409
241,2,376
242,1,475
243,4,373
244,4,515
245,4,343
246,3,321
247,5,256
248,1,327
249,2,354
250,2,271
251,1,325
252,0,371
253,2,416
254,0,384
255,0,444
256,1,361
257,0,358
258,1,412
259,1,338
260,1,407
261,1,331
262,0,217
263,0,255
264,0,344
265,0,292
266,1,370
267,0,302
268,1,321
269,0,282
270,0,353
271,0,235
272,2,270
273,0,268
274,0,288
275,0,311
276,1,315
277,0,227
278,0,258
279,1,295
280,1,287
281,0,220
282,0,339
283,1,254
284,0,337
285,0,258
286,0,236
287,0,255
288,1,340
289,0,321
290,0,365
291,2,281
292,1,319
293,1,205
294,1,258
295,0,276
296,1,285
297,0,302
298,0,268
299,0,340
300,0,282
301,1,321
302,1,305
303,0,286
304,1,327
305,1,320
306,0,248
307,2,443
308,0,312
309,0,354
310,1,275
311,0,206
312,1,225
313,0,301
314,1,237
315,0,223
316,0,303
317,0,257
318,0,246
319,0,313
320,0,235
321,0,354
322,0,242
323,0,254
324,0,192
325,1,287
326,0,232
327,0,245
328,0,187
329,0,153
330,0,180
331,1,257
332,1,268
333,0,213
334,0,257
335,0,204
336,0,308
337,0,254
338,0,191
339,1,200
340,1,219
341,1,200
342,1,225
343,0,229
344,1,276
345,1,205
346,0,196
347,0,172
348,0,224
349,2,169
350,0,156
351,0,228
352,1,304
353,1,153
354,0,140
355,2,137
356,0,216
357,0,224
358,0,202
359,0,116
360,0,166
361,1,242
362,0,293
363,0,267
364,0,249
365,0,196
366,0,225
367,0,277
368,0,215
369,0,161
370,1,177
371,0,203
372,1,189
373,2,169
374,0,238
375,0,254
376,0,188
377,0,179
378,0,157
379,0,225
380,0,181
381,0,164
382,0,184
383,0,236
384,1,249
385,0,161
386,0,145
387,1,236
388,1,281
389,0,248
390,0,250
391,1,161
392,1,158
393,0,189
394,0,200
395,1,230
396,1,178
397,2,229
398,2,148
399,1,164
400,1,162
401,2,115
402,1,122
403,0,122
404,0,121
405,0,114
406,0,153
407,0,113
408,0,127
409,0,174
410,0,162
411,1,165
412,1,191
413,0,222
414,0,184
415,1,222
416,0,183
417,0,178
418,0,132
419,0,147
420,1,204
421,1,205
422,0,242
423,0,68
424,0,102
425,0,124
426,1,206
427,0,148
428,1,90
429,0,125
430,0,103
431,0,82
432,0,123
433,1,187
434,0,161
435,1,129
436,0,159
437,0,186
438,0,156
439,0,169
440,1,176
441,0,194
442,0,213
443,0,178
444,0,164
445,0,148
446,0,269
447,0,146
448,0,187
449,0,187
450,0,113
451,0,164
452,0,114
453,2,76
454,0,113
455,0,124
456,0,118
457,0,137
458,0,159
459,0,206
460,0,204
461,0,99
462,0,64
463,0,121
464,0,111
465,0,184
466,0,154
467,0,134
468,0,155
469,0,136
470,0,198
471,2,97
472,1,78
473,0,171
474,0,132
475,0,141
476,1,163
477,0,124
478,0,99
479,0,122
480,0,180
481,0,165
482,0,150
483,0,148
484,0,91
485,0,139
486,0,104
487,0,120
488,0,75
489,0,161
490,0,106
491,0,103
492,0,123
493,0,91
494,0,96
495,0,139
496,0,162
497,0,171
498,0,96
499,0,81
500,0,119
501,0,81
502,0,138
503,0,111
504,0,162
505,0,74
506,1,145
507,0,131
508,0,151
509,0,216
510,0,153
511,1,117
512,0,142
513,0,136
514,0,72
515,1,125
516,0,136
517,0,56
518,0,29
519,0,71
520,0,76
521,0,65
522,0,116
523,0,104
524,0,87
525,1,63
526,0,78
527,0,105
528,1,89
529,0,68
530,1,89
531,0,102
532,0,85
533,1,94
534,0,106
535,0,77
536,0,121
537,0,130
538,0,111
539,0,160
540,0,174
541,0,132
542,0,158
543,0,99
544,0,74
545,0,33
546,0,101
547,0,107
548,0,81
549,0,98
550,1,119
551,1,103
552,0,123
553,0,98
554,0,146
555,0,91
556,1,120
557,0,101
558,0,154
559,0,79
560,0,107
561,0,72
562,2,100
563,1,153
564,3,186
565,2,174
566,3,158
567,0,95
568,2,87
569,2,88
570,3,135
571,2,93
572,0,87
573,1,74
574,2,103
