access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1433,541134,0,111,178,0
2,671,87816,0,67,109,0
3,213,9075,0,22,45,0
4,46,3493,0,0,1,0
5,32,2853,171,1,2,0
6,12,1025,270,0,2,0
7,4,686,240,0,2,0
8,6,744,279,0,0,0
9,12,616,213,0,0,0
10,6,436,171,1,1,0
11,12,294,210,0,0,0
12,4,247,156,0,0,0
13,4,302,174,1,1,0
14,1,226,270,0,0,0
15,3,224,282,0,0,0
16,4,175,171,0,0,0
17,4,163,222,0,0,0
18,2,174,198,0,0,0
19,4,103,165,0,1,0
20,3,95,213,0,0,0
21,1,109,213,0,0,0
22,0,81,186,0,0,0
23,2,73,162,1,1,0
24,1,57,114,0,0,0
25,1,73,156,0,0,0
26,1,62,129,0,0,0
27,0,70,147,0,0,0
28,5,63,150,0,1,0
29,2,44,129,0,0,0
30,1,53,90,0,0,0
31,1,46,96,0,0,0
32,0,57,123,0,0,0
33,0,48,111,0,0,0
34,0,36,147,0,0,0
35,0,38,90,0,0,0
36,0,40,159,0,1,0
37,0,40,135,0,1,1153710
38,0,24,138,0,0,11829
39,0,22,258,0,0,9147
40,0,18,564,0,0,7629
41,0,16,366,0,0,5073
42,0,24,321,0,0,4371
43,0,17,363,0,0,4032
44,0,17,468,0,0,3294
45,0,14,522,0,0,2985
46,0,10,495,0,0,2880
47,0,8,468,0,0,2688
48,0,18,414,0,0,2397
49,0,7,381,0,0,2427
50,0,7,492,0,0,2526
51,0,21,528,0,0,2100
52,0,8,618,0,0,2127
53,1,8,543,0,0,2355
54,0,15,423,0,0,1971
55,0,7,378,0,0,1803
56,0,7,453,0,0,1710
57,0,8,396,0,0,1551
58,0,11,306,0,0,1479
59,0,3,252,0,0,1371
60,0,7,240,0,0,1449
61,0,11,312,0,0,1299
62,1,8,315,0,0,1245
63,0,17,258,0,0,1221
64,0,12,276,0,0,993
65,0,9,282,0,0,1107
66,0,11,270,0,0,1236
67,0,4,219,0,0,981
68,1,10,177,0,0,879
69,0,7,198,0,0,861
70,1,8,210,0,0,837
71,0,6,210,0,0,786
72,0,11,189,0,0,846
73,0,12,315,0,0,672
74,0,16,189,0,0,909
75,0,22,186,0,0,774
76,0,35,228,0,0,762
77,0,25,195,0,0,783
78,0,36,177,0,0,711
79,0,68,222,0,0,735
80,1,81,165,0,0,783
81,1,98,108,0,0,654
82,0,95,192,0,0,612
83,0,74,180,0,0,753
84,0,89,246,0,0,690
85,0,102,231,0,0,585
86,1,104,189,0,0,771
87,4,132,270,0,0,612
88,8,152,291,0,0,648
89,6,152,180,0,0,558
90,4,178,237,0,0,516
91,11,203,210,0,0,504
92,12,226,156,0,0,510
93,9,239,183,0,0,486
94,19,227,96,0,0,504
95,12,215,153,0,0,441
