access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,302,621203,2472,185,8907,0
2,53,32134,1977,108,397,0
3,4,3228,1455,20,21,0
4,3,3199,1539,3,4,0
5,0,866,1587,2,2,0
6,1,395,1584,1,1,0
7,5,512,1206,1,1,0
8,2,344,1023,0,0,0
9,1,273,1011,0,0,0
10,0,240,777,0,0,0
11,2,183,762,0,0,0
12,0,183,546,0,0,0
13,0,157,471,0,0,0
14,0,174,519,1,1,0
15,0,219,480,1,1,0
16,0,275,288,1,1,0
17,0,409,351,0,0,0
18,0,544,270,1,1,0
19,0,708,288,1,1,0
20,0,923,282,2,2,0
21,0,895,411,0,0,0
22,0,833,348,0,0,0
23,0,677,345,0,0,0
24,0,443,231,2,2,0
25,0,283,219,0,0,0
26,0,233,177,1,1,0
27,0,209,318,0,0,0
28,0,178,498,0,0,0
29,0,152,375,0,0,0
30,0,144,309,0,0,0
31,0,163,315,0,0,0
32,0,155,405,0,0,0
33,0,167,288,0,0,0
34,0,178,249,0,0,0
35,0,202,267,0,0,0
36,0,186,216,0,0,0
37,0,151,195,0,0,0
38,0,164,201,0,0,0
39,0,129,219,0,0,0
40,0,108,258,1,1,0
41,0,89,288,0,0,0
42,0,52,294,0,0,0
43,0,74,294,0,0,14091
44,0,63,633,1,1,289689
45,0,50,690,0,0,8361
46,0,44,684,0,0,6087
47,0,44,1869,0,0,5850
48,0,47,2625,0,0,5316
49,0,31,2514,0,0,4725
50,0,39,2586,0,0,4461
51,0,36,2373,0,0,4215
52,0,26,2241,0,0,3975
53,0,39,2139,0,0,3807
54,0,24,1959,0,0,3621
55,0,29,1911,0,0,3450
56,0,31,1620,0,0,3486
57,0,34,1791,0,0,3324
58,0,20,1644,0,0,3435
59,0,39,1425,0,0,3396
60,0,30,1338,0,0,3291
61,0,26,1185,0,0,3192
62,0,26,1071,0,0,3090
63,0,18,1068,0,0,3078
64,0,21,1041,0,0,2973
65,0,22,843,0,0,2871
66,0,12,879,0,0,2697
67,0,22,792,0,0,2562
68,0,21,756,0,0,2652
69,0,14,717,0,0,2418
70,0,20,660,0,0,2391
71,0,24,594,0,0,2091
72,0,20,627,0,0,2160
73,0,16,585,0,0,2019
74,0,19,570,0,0,2016
75,0,22,540,0,0,1917
76,0,21,504,0,0,1878
77,0,16,498,0,0,1830
78,0,14,477,0,0,1764
79,0,11,441,0,0,1710
80,0,21,489,0,0,1599
81,0,14,417,0,0,1596
82,0,10,420,0,0,1596
83,0,12,435,0,0,1383
84,0,13,303,0,0,1557
85,0,12,363,0,0,1320
86,0,10,324,0,0,1488
87,0,15,309,0,0,1335
88,0,10,291,0,0,1341
89,0,11,264,0,0,1272
90,0,6,291,0,0,1302
91,0,8,282,0,0,1239
92,0,9,318,0,0,1296
93,0,13,249,0,0,1206
94,0,15,267,0,0,1317
95,0,8,219,0,0,1020
96,0,9,303,0,0,1179
97,0,11,201,0,0,1083
98,0,7,228,0,0,1071
99,0,8,213,0,0,1014
100,0,7,225,0,0,969
101,0,10,261,0,0,1077
102,0,9,195,0,0,897
103,0,12,207,0,0,1107
104,0,14,204,0,0,918
105,0,6,300,0,0,978
106,0,8,246,0,0,954
107,0,6,222,0,0,960
108,0,2,165,0,0,888
109,0,4,216,0,0,885
110,0,3,210,0,0,951
111,0,7,228,0,0,885
112,0,9,219,0,0,807
113,0,4,192,0,0,807
114,0,8,192,0,15,816
115,0,5,180,0,129,789
116,0,5,204,0,438,855
117,0,5,147,0,997,753
118,0,6,177,0,2001,768
119,0,3,153,0,3769,774
120,0,7,132,0,5320,774
121,0,1,162,0,6510,765
122,0,5,150,0,7850,717
123,0,4,153,0,8483,726
124,0,3,168,0,7728,717
125,0,2,141,0,6607,753
126,0,8,159,0,5491,684
127,0,3,141,0,4229,795
128,0,6,84,0,3245,666
129,0,7,138,0,2710,720
130,0,5,150,0,1999,657
131,0,4,144,0,2062,690
132,0,2,132,0,1856,627
133,0,6,135,0,1803,627
134,0,3,123,0,2016,627
135,0,7,150,0,1865,627
136,0,2,144,0,1827,600
137,0,4,114,0,1670,630
138,0,3,141,0,1584,588
139,0,7,132,0,1566,612
140,0,8,102,0,1458,567
141,0,4,123,0,1328,588
142,0,1,90,0,1392,558
143,0,2,93,0,1229,567
144,0,2,102,0,1174,516
145,0,2,141,0,1275,549
146,0,5,102,0,1133,528
147,0,6,66,0,1306,516
148,0,2,90,0,1069,510
149,0,7,114,0,1160,534
150,0,4,90,0,1032,435
151,0,2,63,0,915,456
152,0,4,117,0,900,426
153,0,1,96,0,1029,462
154,0,2,120,0,878,447
155,0,6,93,0,989,420
156,0,1,96,0,970,384
