access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1267,565824,4956,253,8758,0
2,80,31593,3558,101,393,0
3,10,3128,2526,16,21,0
4,25,3172,2694,3,4,0
5,0,917,2682,1,1,0
6,1,365,2832,3,3,0
7,2,486,2346,0,0,0
8,1,315,2037,0,0,0
9,3,287,1857,0,0,0
10,1,234,1959,0,0,0
11,0,210,2031,0,0,0
12,0,189,1758,0,0,0
13,0,144,1524,0,0,0
14,0,146,1701,1,1,0
15,0,113,1425,1,1,0
16,1,121,1068,1,1,0
17,0,136,1053,1,1,0
18,0,241,1089,0,0,0
19,0,395,1044,2,3,0
20,0,599,795,0,0,0
21,1,799,927,0,0,0
22,3,725,825,1,1,0
23,4,659,720,1,1,0
24,7,667,678,0,0,0
25,4,548,645,0,0,0
26,9,407,636,1,1,0
27,7,261,495,0,0,0
28,21,277,408,0,0,0
29,7,250,246,0,0,0
30,1,213,183,0,0,0
31,1,162,321,0,0,0
32,2,149,144,0,0,0
33,0,122,174,0,0,0
34,2,87,180,0,0,0
35,1,81,138,0,0,0
36,0,68,216,0,0,0
37,0,61,129,0,0,0
38,0,83,1647,0,0,0
39,0,146,2649,1,1,0
40,0,154,798,0,0,0
41,0,188,654,0,0,0
42,0,146,516,0,0,0
43,0,126,414,1,1,0
44,0,94,477,0,0,0
45,0,74,483,0,0,0
46,0,67,411,0,0,0
47,0,68,387,0,0,0
48,0,69,366,0,0,0
49,0,55,243,0,0,0
50,0,58,228,0,0,0
51,0,56,279,0,0,0
52,0,39,177,0,0,0
53,0,38,213,0,0,0
54,0,49,165,0,0,0
55,0,21,90,0,0,0
56,0,32,135,0,0,0
57,0,21,108,0,0,0
58,0,22,126,0,0,0
59,0,38,108,0,0,0
60,0,29,105,0,0,0
61,0,30,108,0,0,0
62,0,25,78,0,0,0
63,0,29,54,0,0,0
64,0,17,72,0,0,0
65,0,30,45,0,0,0
66,0,13,39,0,0,0
67,0,16,78,0,0,0
68,0,14,60,0,0,0
69,0,18,60,0,0,0
70,0,25,30,0,0,0
71,0,25,51,0,0,0
72,0,26,36,0,0,0
73,0,12,30,0,0,0
74,0,18,30,0,0,0
75,0,22,42,0,0,0
76,0,11,21,0,0,0
77,0,14,27,0,0,0
78,0,17,27,0,0,0
79,0,16,33,0,0,0
80,0,21,24,0,0,0
81,0,20,27,0,0,0
82,0,12,12,0,0,0
83,0,16,15,0,0,0
84,0,12,6,0,0,0
85,0,13,21,0,0,0
86,0,19,27,0,0,0
87,0,13,21,0,0,0
88,0,13,6,0,0,0
89,0,12,6,0,0,0
90,0,12,9,0,0,0
91,0,13,15,0,0,0
92,0,7,6,0,0,0
93,0,13,3,0,0,0
94,0,3,3,0,0,0
95,0,11,12,0,0,0
96,0,9,6,0,0,0
97,0,9,12,0,0,0
98,0,14,9,0,0,0
99,0,6,0,0,0,0
100,0,5,3,0,0,0
101,0,6,3,0,0,0
102,0,4,0,0,0,0
103,0,11,3,0,0,0
104,0,15,3,0,0,0
105,0,9,0,0,0,0
106,0,5,3,0,0,0
107,0,8,6,0,0,0
108,0,4,0,0,0,0
109,0,4,0,0,0,0
110,0,5,0,0,0,0
111,0,6,0,0,0,0
112,0,2,0,0,0,0
113,0,5,0,0,53,0
114,0,4,3,0,385,0
115,0,6,0,0,836,0
116,0,4,0,10,1803,0
117,0,5,3,107,3611,0
118,0,2,3,392,5560,0
119,0,6,3,968,7291,0
120,0,4,0,1517,8494,0
121,0,7,0,2337,9519,0
122,0,3,0,3100,10161,0
123,0,3,0,3721,9851,0
124,0,3,0,3161,7856,0
125,0,3,0,2703,6613,0
126,0,5,0,1951,5297,0
127,0,2,0,1223,4111,0
128,0,5,0,983,3319,0
129,0,5,0,661,2577,0
130,0,5,0,680,2479,0
131,0,6,0,566,2248,0
132,0,4,0,584,2380,0
133,0,2,0,555,2099,0
134,0,4,0,631,2181,0
135,0,3,0,484,1793,0
136,0,3,0,414,2028,0
137,0,4,0,301,1809,0
138,0,3,3,294,1702,0
139,0,2,0,227,1504,0
140,0,2,0,325,1528,0
141,0,2,3,302,1398,0
142,0,5,0,263,1231,0
143,0,1,3,281,1457,0
144,0,1,0,295,1459,0
145,0,0,0,324,1291,0
146,0,3,0,297,1160,0
147,0,5,0,346,1180,0
148,0,5,0,283,1217,0
149,0,1,0,303,1165,0
150,0,4,0,191,1182,0
151,0,3,0,197,1093,0
152,0,3,0,163,987,0
153,0,4,0,222,968,0
154,0,8,0,166,888,0
155,0,2,0,270,1106,0
156,0,2,0,230,1044,0
157,0,2,0,186,1011,0
158,0,2,0,208,977,0
159,0,5,0,105,850,0
160,0,3,0,84,751,0
161,0,3,0,155,929,0
162,0,1,0,262,948,0
163,0,5,0,212,995,0
164,0,3,0,255,906,0
165,0,3,0,188,901,0
166,0,0,0,153,815,0
167,0,7,0,144,710,0
168,0,3,0,184,662,0
169,0,1,0,168,829,0
170,0,0,0,161,672,0
171,0,3,0,159,829,0
172,0,2,0,221,921,0
173,0,3,0,209,876,0
174,0,2,0,171,917,0
175,0,2,0,196,706,0
176,0,3,0,170,699,0
177,0,2,0,176,780,0
178,0,2,0,111,624,0
179,0,2,0,193,675,0
180,0,2,0,116,732,0
