access,reuse distance for all0,reuse distance for all1
1,618869,8739
2,33279,397
3,3411,21
4,3092,4
5,874,2
6,385,1
7,521,1
8,332,0
9,283,0
10,248,0
11,175,0
12,191,0
13,135,0
14,128,1
15,122,1
16,126,1
17,242,0
18,383,1
19,585,1
20,826,2
21,911,0
22,865,0
23,796,0
24,622,2
25,467,0
26,321,1
27,212,0
28,154,0
29,138,0
30,152,0
31,167,0
32,199,0
33,154,0
34,182,0
35,209,0
36,196,0
37,202,0
38,171,0
39,142,0
40,118,1
41,88,0
42,70,0
43,69,0
44,63,1
45,70,0
46,46,0
47,61,0
48,42,0
49,36,0
50,42,0
51,38,0
52,28,0
53,42,0
54,26,0
55,29,0
56,30,0
57,33,0
58,19,0
59,43,0
60,28,0
61,32,0
62,30,0
63,29,0
64,21,0
65,18,0
66,10,0
67,18,0
68,20,0
69,17,0
70,21,0
71,25,0
72,26,0
73,13,0
74,19,0
75,24,0
76,17,0
77,15,0
78,18,0
79,13,0
80,21,0
81,19,0
82,8,0
83,12,0
84,16,0
85,10,0
86,12,0
87,12,0
88,10,0
89,17,0
90,8,0
91,3,0
92,9,0
93,10,0
94,13,0
95,12,0
96,5,0
97,15,0
98,5,0
99,6,0
100,6,0
101,7,0
102,5,0
103,13,0
104,14,0
105,8,0
106,8,0
107,6,0
108,1,0
109,5,0
110,5,0
111,6,0
112,7,0
113,7,23
114,8,200
115,6,656
116,3,1264
117,6,2569
118,6,4621
119,2,6474
120,6,8175
121,2,8726
122,6,10032
123,8,9871
124,4,8529
125,2,6970
126,9,5778
127,3,4530
128,4,3210
129,8,2829
130,2,2384
131,4,2357
132,3,2386
133,5,2319
134,1,2411
135,6,2165
136,1,2179
137,4,1799
138,3,1954
139,4,1772
140,8,1590
141,3,1527
142,4,1556
143,4,1351
144,4,1426
145,4,1416
146,5,1296
147,3,1359
148,3,1199
149,3,1276
150,5,1284
151,3,1169
152,4,1059
153,2,1158
154,4,946
155,3,1094
156,3,1109
157,4,1102
158,2,894
159,2,830
160,1,792
161,2,760
162,3,889
163,2,815
164,2,939
165,5,890
166,1,738
167,2,788
168,0,744
169,3,636
170,2,848
171,1,746
172,0,970
173,3,826
174,6,887
175,6,941
176,0,851
177,1,692
178,1,704
179,1,833
180,4,832
181,0,722
182,1,700
183,2,689
184,0,569
185,0,835
186,1,776
187,2,665
188,1,715
189,0,554
190,1,559
191,1,540
192,0,463
193,1,614
194,3,529
195,1,524
196,3,599
197,0,589
198,2,642
199,0,700
200,2,602
201,2,494
202,2,511
203,3,477
204,1,604
205,0,561
206,1,616
207,1,673
208,1,642
209,5,528
210,6,508
211,1,572
212,4,626
213,2,625
214,5,562
215,3,538
216,1,484
217,1,552
218,4,503
219,1,448
220,0,501
221,0,443
222,3,370
223,2,311
224,1,489
225,0,510
226,1,455
227,3,601
228,1,559
229,2,462
230,2,432
231,3,535
232,0,353
233,0,416
234,2,337
235,0,378
236,3,353
237,1,361
238,1,384
239,5,543
240,5,381
241,1,400
242,2,434
243,3,387
244,5,493
245,5,340
246,5,322
247,3,259
248,1,326
249,3,341
250,0,259
251,2,375
252,0,405
253,2,367
254,1,383
255,0,457
256,0,390
257,1,434
258,1,459
259,1,369
260,0,385
261,1,321
262,1,242
263,0,247
264,0,362
265,0,326
266,0,323
267,0,316
268,1,345
269,1,322
270,0,333
271,0,262
272,2,293
273,0,274
274,0,309
275,0,289
276,1,341
277,0,225
278,0,274
279,0,307
280,2,260
281,0,199
282,0,348
283,1,298
284,0,340
285,0,248
286,0,269
287,0,267
288,0,339
289,1,303
290,0,364
291,1,276
292,2,267
293,1,222
294,0,286
295,1,277
296,1,282
297,0,293
298,0,307
299,0,366
300,0,296
301,1,361
302,0,266
303,2,278
304,0,309
305,1,314
306,0,283
307,2,455
308,0,314
309,1,396
310,0,291
311,0,248
312,1,252
313,0,259
314,0,271
315,1,237
316,0,287
317,0,248
318,0,279
319,0,274
320,0,259
321,0,354
322,0,238
323,0,220
324,0,248
325,0,283
326,1,250
327,0,237
328,0,191
329,0,157
330,0,201
