access,reuse distance for all0,reuse distance for all1,reuse distance for all2
1,602459,66,8309
2,42456,137,512
3,6341,84,68
4,3438,36,21
5,1202,6,10
6,598,3,6
7,558,1,2
8,358,2,0
9,292,1,0
10,253,0,0
11,191,1,0
12,206,0,0
13,165,0,1
14,148,0,0
15,145,0,1
16,123,1,0
17,110,1,0
18,95,1,2
19,82,0,0
20,93,0,2
21,85,0,0
22,58,2,1
23,66,0,0
24,60,1,0
25,67,0,0
26,69,0,0
27,96,0,2
28,127,1,0
29,146,0,0
30,172,0,1
31,267,1,0
32,403,0,0
33,522,0,0
34,569,0,0
35,478,3,0
36,510,1,0
37,474,0,0
38,468,0,0
39,411,0,0
40,375,1,0
41,281,0,0
42,233,0,0
43,220,0,0
44,165,552,1
45,124,6363,0
46,87,14707,0
47,81,16132,0
48,44,14860,1
49,35,14856,0
50,33,17085,0
51,42,17965,0
52,45,14820,0
53,48,10733,0
54,55,8046,0
55,45,7449,0
56,41,8114,0
57,36,9767,0
58,44,11595,0
59,38,13024,0
60,57,12817,0
61,45,11849,0
62,55,10756,0
63,67,10420,0
64,66,11049,0
65,52,11196,0
66,57,10812,0
67,44,10025,0
68,54,7993,0
69,47,6014,0
70,50,4542,0
71,74,3792,0
72,73,3213,0
73,86,2937,0
74,86,2718,0
75,71,2673,0
76,61,2371,0
77,70,2325,0
78,76,2136,0
79,89,2014,0
80,126,1849,0
81,95,1871,0
82,65,1783,0
83,69,1793,0
84,77,1756,0
85,48,1709,0
86,46,1618,0
87,60,1532,0
88,47,1445,0
89,40,1480,0
90,26,1497,0
91,34,1404,0
92,31,1390,0
93,22,1191,0
94,33,1185,0
95,25,1212,0
96,23,1182,0
97,19,1214,0
98,26,1126,0
99,24,1151,0
100,10,1102,0
101,20,1211,0
102,18,1128,0
103,15,1111,0
104,14,1027,0
105,18,1036,0
106,11,918,0
107,12,876,0
108,10,843,0
109,11,869,0
110,14,824,0
111,5,845,0
112,11,856,0
113,8,872,0
114,15,938,0
115,11,950,0
116,12,997,0
117,13,904,0
118,10,903,0
119,14,846,0
120,7,802,0
121,13,748,0
122,10,739,0
123,6,672,0
124,5,709,0
125,9,735,0
126,9,678,0
127,7,657,0
128,1,748,0
129,9,730,0
130,12,704,0
131,7,667,0
132,2,603,0
133,7,654,0
134,9,648,0
135,8,665,0
136,7,637,0
137,5,590,0
138,3,615,0
139,2,553,0
140,4,520,0
141,5,580,0
142,5,531,0
143,6,568,0
144,10,563,0
145,5,571,0
146,4,524,0
147,6,466,0
148,9,467,0
149,5,451,0
150,4,507,0
151,3,546,0
152,5,518,0
153,5,473,0
154,6,517,0
155,6,517,0
156,4,554,0
157,2,586,0
158,4,505,0
159,5,476,0
160,3,437,0
161,7,453,0
162,3,426,0
163,1,444,0
164,3,397,0
165,10,386,0
166,3,395,0
167,6,398,0
168,2,436,0
169,4,417,0
170,6,418,0
171,4,377,0
172,5,331,0
173,3,365,0
174,2,346,0
175,3,397,0
176,8,382,0
177,2,380,0
178,0,362,0
179,7,350,0
180,1,344,0
181,2,332,0
182,3,346,0
183,7,351,0
184,3,312,0
185,8,299,0
186,3,319,0
187,3,313,0
188,3,326,0
189,1,280,0
190,0,299,0
191,3,331,0
192,1,349,0
193,0,371,0
194,4,349,0
195,2,346,0
196,0,332,0
197,2,279,0
198,2,277,0
199,0,290,0
200,3,280,0
201,3,315,0
202,4,308,0
