access,reuse distance for all0,reuse distance for all1
1,598931,187
2,71481,101
3,12904,40
4,7405,11
5,4574,2
6,3188,57147
7,2292,349776
8,1759,91080
9,1393,32848
10,1255,16066
11,1395,14325
12,1128,11638
13,883,11857
14,671,9421
15,482,7835
16,455,7537
17,490,6026
18,411,4756
19,458,6301
20,347,4262
21,320,3684
22,312,3812
23,165,3149
24,236,2742
25,224,3834
26,171,2187
27,167,2255
28,168,2058
29,127,1855
30,116,1583
31,147,2220
32,86,1416
33,86,1403
34,77,1502
35,90,1173
36,101,1103
37,57,1308
38,77,1006
39,89,946
40,80,1097
41,90,803
42,88,787
43,88,1201
44,76,734
45,78,630
46,51,606
47,57,622
48,99,615
49,113,763
50,79,526
51,85,586
52,88,636
53,47,528
54,75,470
55,40,789
56,67,553
57,49,497
58,44,578
59,36,500
60,38,395
61,49,588
62,54,408
63,58,486
64,41,539
65,49,394
66,32,408
67,42,506
68,41,389
69,25,396
70,40,405
71,39,338
72,43,393
73,25,435
74,33,359
75,17,343
76,11,438
77,16,293
78,20,363
79,18,483
80,21,332
81,37,285
82,38,313
83,33,238
84,32,325
85,35,366
86,32,204
87,16,346
88,21,233
89,16,252
90,12,231
91,10,303
92,9,221
93,9,215
94,9,319
95,7,200
96,5,230
97,9,254
98,9,198
99,9,182
100,14,275
101,9,189
102,7,257
103,17,358
104,25,235
105,8,191
106,8,257
107,9,208
108,8,187
109,16,256
110,5,178
111,8,191
112,8,197
113,19,142
114,11,155
115,14,262
116,12,169
117,10,151
118,11,200
119,16,170
120,10,136
121,32,161
122,21,167
123,17,171
124,14,166
125,7,120
126,8,161
127,8,145
128,11,151
129,14,126
130,19,110
131,7,151
132,5,107
133,8,167
134,5,125
135,7,130
136,8,107
137,5,91
138,9,115
139,12,96
140,21,106
141,4,92
142,3,95
143,11,82
144,8,72
145,5,99
146,6,74
147,8,108
148,6,83
149,5,89
150,2,83
151,6,169
152,5,90
153,7,77
154,5,83
155,8,63
156,10,73
157,9,90
158,7,72
159,9,77
160,4,123
161,8,112
162,14,70
163,11,96
164,10,74
165,3,49
166,12,56
167,7,79
168,9,61
169,9,52
170,2,55
171,7,53
172,6,68
173,7,54
174,7,50
175,5,52
176,4,87
177,6,39
178,6,59
179,8,51
180,3,42
181,7,47
182,4,40
183,8,52
184,6,62
185,4,40
186,3,45
187,3,59
188,3,52
189,4,24
190,8,41
191,5,53
192,6,30
193,1,44
194,4,35
195,4,43
196,3,38
197,4,31
198,7,24
199,3,70
200,2,22
201,6,25
202,5,28
203,3,29
204,7,37
205,5,40
206,2,25
207,5,34
208,1,38
209,7,29
210,3,44
211,3,70
212,2,28
213,4,21
214,3,19
215,3,29
216,3,26
217,2,28
218,1,29
219,4,24
220,2,37
221,4,30
222,7,24
223,2,22
224,3,36
225,4,17
226,1,13
227,2,27
228,4,14
229,2,26
230,3,7
231,9,16
232,2,21
233,1,19
234,6,13
235,4,20
236,4,12
237,2,15
238,0,15
239,2,14
240,0,12
241,2,20
242,4,15
243,1,11
244,3,17
245,1,12
246,1,19
247,1,23
248,3,11
249,0,9
250,2,4
251,1,11
252,2,8
253,0,18
254,1,14
255,4,12
256,2,22
257,1,9
258,3,7
259,6,18
260,4,13
261,1,6
262,3,9
263,3,13
264,2,18
265,1,11
266,0,8
267,3,11
268,3,7
269,3,4
270,2,9
271,1,6
272,0,9
273,1,7
274,2,5
275,3,5
276,3,6
277,3,13
278,2,4
279,2,8
280,1,9
281,0,7
282,3,1
283,4,5
284,2,6
285,0,3
286,3,2
287,1,3
288,0,5
289,1,3
290,3,3
291,1,7
292,3,5
293,1,2
294,1,5
295,1,5
296,1,1
297,3,2
298,4,2
299,3,4
300,2,3
301,1,7
302,1,0
303,0,3
304,1,3
305,1,3
306,1,4
307,1,6
308,1,1
309,0,4
310,0,2
311,2,1
312,2,2
313,0,9
314,3,6
315,1,1
316,0,4
317,1,3
318,2,0
319,0,6
320,1,1
321,1,3
322,3,1
323,1,2
324,1,4
325,1,1
326,1,2
327,4,2
328,1,3
329,1,5
330,2,0
331,0,2
332,1,1
333,0,0
334,3,4
335,2,1
336,0,0
337,2,0
338,2,3
339,1,2
340,0,3
341,0,0
342,1,4
343,1,5
344,1,2
345,0,4
346,1,0
347,0,1
348,1,2
349,1,4
350,1,1
351,0,2
352,1,2
353,1,0
354,0,2
355,2,4
356,0,4
357,1,3
358,0,1
359,1,4
360,0,2
361,1,0
362,0,3
363,2,2
364,0,10
365,1,1
366,1,2
367,0,3
368,0,1
369,1,2
370,0,2
371,0,6
372,0,1
373,1,4
374,2,2
375,1,2
376,1,4
377,0,1
378,2,1
379,0,1
380,0,0
381,0,2
382,1,0
383,0,1
384,0,0
385,0,1
386,0,1
387,0,2
388,1,1
389,0,3
390,0,1
391,2,0
392,2,1
393,0,0
394,1,0
395,0,0
396,1,0
397,1,1
398,1,3
399,1,1
400,1,0
401,0,1
402,0,0
403,1,0
404,0,0
405,1,0
406,1,1
407,1,0
408,1,1
409,1,0
410,0,0
411,0,0
412,0,0
413,0,1
414,1,2
415,1,1
416,1,2
417,0,1
418,1,1
419,0,0
420,0,0
421,0,2
422,0,1
423,1,1
424,0,1
425,0,1
426,0,1
427,0,0
428,0,0
429,0,0
430,1,1
431,0,0
432,1,0
433,0,0
434,1,0
435,1,0
436,0,0
437,3,0
438,0,1
439,0,0
440,0,0
441,0,1
442,1,0
443,0,1
444,0,0
445,0,2
446,2,0
447,0,0
448,0,0
449,0,0
450,2,0
451,0,1
452,0,1
453,0,1
454,0,0
455,1,1
456,0,2
457,0,0
458,2,2
459,0,0
460,0,0
461,0,0
462,1,0
463,1,1
464,0,0
465,0,0
466,0,0
467,0,1
468,0,1
469,0,0
470,1,1
471,0,0
472,0,0
473,0,2
474,1,0
475,0,0
476,0,0
477,1,0
478,1,0
479,0,2
480,0,0
481,1,1
482,0,0
483,0,0
484,1,0
485,0,0
486,1,0
487,0,0
488,0,0
489,3,0
490,0,0
491,0,0
492,0,0
493,1,1
494,0,0
495,1,0
496,0,0
497,1,0
498,0,0
499,0,0
500,1,0
501,0,0
502,0,0
503,0,1
504,0,0
505,0,0
506,0,0
507,0,0
508,1,1
509,2,0
510,0,0
511,0,0
512,0,1
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,1,0
524,1,0
525,1,0
526,2,0
527,0,0
528,0,0
529,0,0
530,1,0
531,0,1
532,0,0
533,0,0
534,1,0
535,0,0
536,0,0
537,0,1
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,1,0
544,0,0
545,0,0
546,0,0
547,1,0
548,0,0
549,0,0
550,1,0
551,0,0
552,1,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,1,0
559,0,0
560,0,0
561,1,0
562,0,1
563,0,0
564,0,0
565,1,0
566,0,0
567,0,0
568,1,0
569,2,0
570,0,0
571,2,0
572,1,0
573,1,0
574,1,0
575,0,0
576,1,0
577,0,0
578,0,0
579,0,0
580,1,0
581,0,0
582,1,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,1,1
593,0,0
594,0,0
595,1,0
596,0,0
597,1,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,1,0
613,0,1
614,1,0
615,0,0
616,0,1
617,0,0
618,0,0
619,1,0
620,0,0
621,0,0
622,1,0
623,1,1
624,1,1
625,0,0
626,0,0
627,1,0
628,0,0
629,1,0
630,1,0
631,1,0
632,0,0
633,0,0
634,0,0
635,0,0
636,1,0
637,0,0
638,0,0
639,0,0
640,1,0
641,0,0
642,0,0
643,0,0
644,0,0
645,1,0
646,1,0
647,0,0
648,1,0
649,1,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,1,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,1,0
662,0,0
663,0,0
664,1,0
665,0,0
666,0,0
667,1,0
668,0,0
669,0,0
670,0,0
671,0,0
672,1,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,1,0
682,0,0
683,0,0
684,0,0
685,0,0
686,1,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,1,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,1,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,1,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,1,0
769,0,0
770,0,0
771,1,0
772,0,0
773,1,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,1,0
787,1,0
788,0,0
789,0,0
790,1,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,1,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,1,0
811,1,0
812,0,0
813,0,0
814,0,0
815,1,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,1,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,1,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,1,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,1,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,1,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,1,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,1,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
