access,reuse distance for all0
1,756365
2,28920
3,4194
4,2341
5,1765
6,777
7,564
8,495
9,336
10,257
11,244
12,190
13,179
14,166
15,140
16,113
17,123
18,113
19,104
20,93
21,80
22,90
23,66
24,60
25,63
26,59
27,44
28,50
29,39
30,35
31,29
32,39
33,30
34,20
35,36
36,32
37,43
38,29
39,27
40,25
41,30
42,17
43,28
44,19
45,10
46,17
47,10
48,6
49,31
50,17
51,19
52,24
53,14
54,25
55,19
56,19
57,24
58,20
59,14
60,9
61,11
62,8
63,8
64,12
65,10
66,8
67,11
68,6
69,7
70,12
71,15
72,7
73,11
74,14
75,11
76,11
77,6
78,10
79,6
80,10
81,8
82,11
83,7
84,5
85,4
86,10
87,13
88,12
89,8
90,11
91,17
92,6
93,11
94,7
95,10
96,9
97,14
98,7
99,5
100,9
101,8
102,8
103,15
104,10
105,6
106,6
107,5
108,9
109,8
110,15
111,4
112,4
113,5
114,12
115,3
116,4
117,6
118,8
119,5
120,7
121,3
122,6
123,1
124,12
125,4
126,7
127,2
128,3
129,3
130,10
131,10
132,1
133,7
134,6
135,5
136,3
137,4
138,3
139,4
140,1
141,6
142,3
143,3
144,2
145,9
146,0
147,5
148,3
149,9
150,5
151,8
152,4
153,3
154,8
155,4
156,7
157,4
158,6
159,2
160,22
161,3
162,7
163,10
164,2
165,4
166,5
167,5
168,6
169,3
170,4
171,5
172,3
173,4
174,3
175,6
176,3
177,2
178,2
179,4
180,2
181,1
182,3
183,2
184,7
185,3
186,0
187,3
188,2
189,5
190,5
191,2
192,4
193,5
194,2
195,5
196,5
197,3
198,0
199,2
200,3
201,1
202,2
203,1
204,0
205,8
206,2
207,2
208,3
209,1
210,2
211,4
212,2
213,2
214,4
215,4
216,4
217,4
218,3
219,3
220,1
221,2
222,2
223,2
224,2
225,2
226,2
227,1
228,5
229,4
230,2
231,0
232,3
233,1
234,1
235,2
236,1
237,2
238,6
239,1
240,0
241,1
242,2
243,1
244,0
245,2
246,1
247,3
248,0
249,0
250,1
251,1
252,0
253,1
254,3
255,2
256,3
257,1
258,1
259,0
260,1
261,2
262,1
263,0
264,1
265,4
266,0
267,3
268,0
269,1
270,2
271,0
272,0
273,1
274,0
275,2
276,1
277,1
278,1
279,1
280,2
281,0
282,1
283,3
284,1
285,0
286,1
287,2
288,0
289,1
290,1
291,2
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,2
303,0
304,1
305,2
306,0
307,2
308,1
309,0
310,2
311,2
312,0
313,2
314,2
315,1
316,1
317,0
318,2
319,2
320,0
321,0
322,0
323,2
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,3
336,1
337,2
338,0
339,0
340,0
341,0
342,2
343,0
344,0
345,0
346,2
347,3
348,0
349,0
350,0
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,2
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,2
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,2
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
