access,reuse distance for all0,reuse distance for all1
1,616281,8596
2,58496,505
3,13496,78
4,6650,24
5,3927,7
6,2765,7
7,2274,1
8,1832,1
9,1508,1
10,982,0
11,811,0
12,627,0
13,600,1
14,618,0
15,495,0
16,403,0
17,384,0
18,351,0
19,307,0
20,265,0
21,216,0
22,198,0
23,163,0
24,142,0
25,140,0
26,208,0
27,112,0
28,152,0
29,110,0
30,92,0
31,116,0
32,117,0
33,130,0
34,119,0
35,94,0
36,116,0
37,88,0
38,114,0
39,98,0
40,80,0
41,53,0
42,71,0
43,67,0
44,103,0
45,76,0
46,83,0
47,66,0
48,60,0
49,59,0
50,31,0
51,45,0
52,45,0
53,33,0
54,40,0
55,41,0
56,24,0
57,37,0
58,27,0
59,41,0
60,25,0
61,23,0
62,45,0
63,42,0
64,36,0
65,38,0
66,19,0
67,27,0
68,25,0
69,20,0
70,20,0
71,15,0
72,41,0
73,21,0
74,16,0
75,18,0
76,12,0
77,12,0
78,6,0
79,16,0
80,22,0
81,10,0
82,14,0
83,15,0
84,12,0
85,5,0
86,8,0
87,11,0
88,8,0
89,8,0
90,10,0
91,12,0
92,7,0
93,12,0
94,13,0
95,17,0
96,13,0
97,9,0
98,7,0
99,8,0
100,5,0
101,11,0
102,14,0
103,5,0
104,10,0
105,9,0
106,8,0
107,9,0
108,10,0
109,8,0
110,8,0
111,4,0
112,11,26
113,4,997
114,7,1003
115,13,970
116,11,617
117,6,656
118,12,813
119,12,709
120,5,820
121,8,901
122,6,975
123,8,873
124,6,1007
125,10,1233
126,4,1241
127,7,1140
128,12,993
129,13,1215
130,9,1103
131,16,1175
132,8,1469
133,6,1383
134,8,1515
135,6,1493
136,4,1585
137,8,1635
138,10,1613
139,6,1712
140,6,1580
141,6,1667
142,4,1583
143,4,1441
144,6,1486
145,7,1665
146,8,1697
147,4,1650
148,5,1704
149,4,1710
150,5,1790
151,8,1880
152,7,1792
153,6,1845
154,4,1953
155,8,1849
156,5,1880
157,6,1666
158,6,1682
159,5,1925
160,3,1863
161,6,1767
162,3,1953
163,8,1947
164,10,1562
165,8,1619
166,6,1803
167,4,1644
168,1,1802
169,7,1757
170,2,1685
171,2,1939
172,2,1823
173,3,1571
174,4,1697
175,5,1770
176,4,1618
177,5,1689
178,4,1703
179,3,1739
180,1,1881
181,7,1686
182,9,1614
183,10,1499
184,8,1545
185,3,1391
186,3,1188
187,6,1202
188,2,1162
189,4,1355
190,6,1295
191,8,1327
192,2,1233
193,2,1198
194,4,1169
195,1,1485
196,2,1344
197,4,1397
198,2,1165
199,1,1209
200,2,1270
201,2,1229
202,3,1047
203,1,1231
204,3,1088
205,1,1033
206,1,1053
207,1,1023
208,2,863
209,4,1054
210,3,969
211,7,836
212,1,986
213,0,1062
214,1,1052
215,5,1143
216,0,989
217,1,850
218,3,996
219,0,885
220,1,895
221,1,942
222,2,890
223,4,888
224,3,810
225,2,734
226,5,802
227,4,771
228,4,741
229,2,774
230,2,899
231,2,710
232,5,718
233,1,701
234,1,829
235,0,726
236,4,684
237,3,593
238,3,539
239,5,576
240,0,564
241,0,566
242,3,717
243,2,637
244,4,537
245,0,467
246,0,629
247,2,570
248,0,546
249,1,618
250,0,659
251,1,468
252,0,558
253,0,418
254,3,533
255,1,575
256,0,475
257,1,462
258,3,495
259,6,482
260,5,523
261,4,542
262,1,501
