access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1557,586431,0,178,10713,0
2,578,59382,0,89,534,0
3,130,6003,0,19,56,0
4,30,3109,288,5,27,0
5,15,2053,420,0,5,0
6,8,632,414,3,10,0
7,11,685,477,1,5,0
8,15,500,459,2,3,0
9,9,327,486,0,1,0
10,7,287,411,0,0,0
11,5,190,384,1,1,0
12,4,230,333,1,1,0
13,6,181,366,0,1,0
14,7,166,210,0,0,0
15,1,147,234,0,0,0
16,2,115,300,0,0,0
17,6,107,399,0,0,0
18,1,89,300,1,1,0
19,1,93,291,1,1,0
20,0,95,375,1,1,0
21,1,98,381,0,0,0
22,0,88,360,0,0,0
23,1,78,246,0,0,0
24,1,61,255,0,0,0
25,1,76,282,0,0,0
26,0,57,261,0,0,0
27,0,55,375,0,0,0
28,0,43,336,0,0,0
29,1,58,330,0,0,0
30,0,50,282,0,0,0
31,0,48,228,0,0,0
32,0,62,153,1,1,0
33,1,45,210,0,0,0
34,0,58,168,0,0,0
35,0,81,150,0,0,0
36,1,122,195,0,0,0
37,1,120,288,0,0,0
38,2,152,219,0,0,0
39,10,177,366,1,1,0
40,5,127,594,1,1,0
41,7,139,690,0,0,0
42,8,130,717,0,0,0
43,10,150,708,1,1,0
44,11,166,633,0,0,0
45,14,169,567,0,0,0
46,12,158,573,0,0,0
47,15,122,600,0,0,0
48,12,123,657,0,0,0
49,6,127,654,0,0,0
50,9,133,588,0,0,0
51,6,170,600,0,0,0
52,8,187,717,0,0,0
53,7,206,681,0,0,0
54,14,234,639,0,0,0
55,6,232,558,0,0,0
56,18,265,558,0,0,0
57,19,319,597,0,0,0
58,36,415,633,0,0,0
59,37,354,567,0,0,0
60,48,318,558,0,0,0
61,28,230,645,0,0,0
62,24,196,468,0,0,0
63,25,177,522,0,0,0
64,26,156,492,0,0,0
65,18,140,369,0,0,0
66,16,128,360,0,0,0
67,17,100,429,0,0,0
68,11,82,324,0,0,0
69,11,49,333,0,0,0
70,8,33,318,0,0,0
71,5,35,300,0,0,0
72,3,33,330,0,0,0
73,3,29,243,0,0,0
74,1,22,294,0,0,0
75,3,28,246,0,0,0
76,6,36,219,0,0,0
77,3,15,171,0,0,0
78,1,16,246,0,0,0
79,1,25,261,0,0,0
80,3,28,261,0,0,0
81,2,21,195,0,0,0
82,2,30,219,0,0,0
83,4,42,180,0,0,0
84,3,53,192,0,0,0
85,4,48,189,0,0,0
86,1,47,234,0,0,0
87,2,39,234,0,0,0
88,0,42,213,0,0,0
89,2,36,171,0,0,0
90,2,50,264,0,0,0
91,0,47,234,0,0,0
92,3,41,252,0,0,0
93,5,45,201,0,0,0
94,4,49,177,0,0,0
95,1,30,192,0,0,0
96,1,21,162,0,0,0
97,1,32,216,0,0,0
98,3,20,186,0,0,0
99,0,23,177,0,0,0
100,1,13,129,0,0,0
101,1,23,135,0,0,0
102,0,21,129,0,0,0
103,0,20,120,0,0,0
104,3,18,102,0,0,0
105,2,23,87,0,0,0
106,3,28,114,0,0,0
107,3,36,120,0,0,0
108,0,32,165,0,0,0
109,4,43,153,0,0,0
110,2,23,147,0,0,0
111,4,45,192,0,0,0
112,3,41,105,35,40116,0
113,7,46,114,462,86239,0
114,1,38,147,1969,102623,0
115,0,50,162,3899,103558,0
116,2,54,171,4189,96112,0
117,0,57,198,3454,82112,0
118,1,34,126,2425,64122,0
119,2,42,129,1528,41987,0
120,0,42,159,736,26312,0
121,2,43,120,568,18448,0
122,1,26,162,583,14981,0
123,3,33,162,535,13143,0
124,0,25,117,429,11291,0
125,1,18,99,474,11878,0
126,1,27,147,433,11222,0
127,0,22,132,507,10779,0
128,2,18,93,422,11148,0
129,1,17,81,330,8868,0
130,1,19,81,244,7772,0
131,1,16,90,243,7636,0
132,1,22,87,361,6701,0
133,0,35,114,364,7739,0
134,1,24,111,309,7115,0
135,0,22,96,353,6206,0
136,1,34,51,233,6704,0
137,0,19,156,245,5645,0
138,1,20,90,129,5056,0
139,1,18,129,320,5768,0
140,2,27,69,216,5712,0
141,3,30,93,160,5212,0
142,0,37,81,275,4962,0
143,1,40,114,224,5125,0
144,0,37,66,208,5178,0
145,2,38,105,153,4863,0
146,2,35,108,194,4100,0
147,0,47,75,142,4149,0
148,1,29,63,149,3952,0
149,2,30,78,246,4107,0
150,2,27,66,177,3905,0
151,0,16,66,155,3870,0
152,0,24,120,152,3928,0
153,1,22,69,83,3666,0
154,1,20,36,180,3869,0
155,0,13,90,163,3569,0
156,0,11,102,215,3776,0
157,1,17,36,206,3491,0
158,3,15,93,166,2903,0
159,0,5,48,134,2939,0
160,0,8,42,139,3157,0
161,2,9,27,126,3116,0
162,0,13,36,148,3208,0
163,3,12,39,140,2744,0
164,1,7,78,105,2957,0
165,0,5,36,121,3215,0
166,0,12,54,150,3327,0
167,1,9,66,179,3474,0
168,0,7,69,178,2983,0
169,0,6,36,144,2893,0
170,0,8,48,108,2449,0
171,0,8,63,89,2292,0
172,2,11,24,144,2593,0
173,1,14,69,99,2801,0
174,1,3,90,53,2608,0
175,0,4,57,80,2370,0
176,0,6,57,150,2366,0
177,0,3,21,23,2148,0
178,1,7,39,27,2326,0
179,1,6,27,41,2081,0
180,1,6,24,61,2305,0
181,0,4,27,55,2282,0
182,0,4,42,133,2132,0
183,1,7,45,44,2631,0
184,0,12,33,119,2208,0
185,0,2,27,60,2567,0
186,0,6,42,30,1973,0
187,0,3,39,78,2108,0
188,0,6,51,35,2157,0
189,1,4,51,38,1956,0
190,1,6,42,112,2103,0
191,0,7,15,76,1735,0
192,0,2,39,70,1853,0
193,0,6,15,56,1868,0
194,0,3,21,60,2082,0
195,1,5,30,58,1947,0
196,1,3,27,104,1825,0
197,0,5,15,75,2134,0
198,0,3,24,68,1597,0
199,0,6,18,31,1367,0
200,0,3,21,35,1731,0
201,0,5,27,88,1857,0
202,0,3,30,75,1910,0
203,1,3,30,41,1439,0
204,0,0,30,93,1853,0
205,0,2,18,41,1951,0
206,0,1,9,34,1713,0
