access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1961,562420,0,92,183,0
2,452,68711,0,49,107,0
3,182,11976,0,17,35,0
4,83,4671,0,3,5,0
5,42,2271,0,2,3,0
6,34,1597,0,2,3,0
7,16,837,0,0,0,0
8,17,619,876,0,0,0
9,13,525,7653,0,0,0
10,5,390,687,1,2,0
11,3,306,639,0,3,0
12,20,338,714,0,0,0
13,2,227,585,0,0,0
14,6,237,504,0,0,0
15,4,221,543,0,0,0
16,3,228,447,0,0,0
17,1,193,516,0,0,0
18,6,149,432,0,0,0
19,2,140,432,0,0,0
20,3,120,381,1,1,0
21,2,111,396,0,1,0
22,7,121,387,0,0,0
23,2,87,411,1,1,0
24,0,81,363,0,0,0
25,1,92,330,0,0,0
26,2,93,336,0,0,0
27,1,67,339,0,0,0
28,1,65,369,0,0,0
29,5,73,330,0,0,0
30,0,69,357,0,0,0
31,0,61,264,0,0,0
32,1,80,288,0,0,0
33,2,53,321,0,0,0
34,2,60,327,0,0,0
35,0,45,261,0,0,0
36,1,29,267,0,1,0
37,0,42,282,0,0,0
38,0,31,225,0,2,0
39,0,37,261,0,0,0
40,1,41,279,0,1,0
41,0,21,255,0,0,0
42,0,19,312,0,0,0
43,2,23,270,0,0,0
44,1,39,237,0,0,0
45,1,14,261,0,0,0
46,0,15,234,0,0,0
47,0,18,210,0,0,0
48,0,13,207,0,0,0
49,0,24,234,0,0,0
50,2,20,150,0,0,0
51,2,17,210,0,0,0
52,2,25,210,0,0,0
53,0,14,222,0,0,0
54,0,14,219,0,0,0
55,0,19,207,0,0,0
56,0,6,141,0,0,0
57,1,13,162,0,0,0
58,0,16,201,0,0,0
59,2,9,162,0,0,0
60,0,10,168,0,0,0
61,0,18,189,0,0,0
62,0,6,144,0,0,0
63,0,13,138,0,0,0
64,0,15,165,0,0,0
65,1,12,192,0,0,0
66,0,11,138,0,0,0
67,0,10,186,0,0,0
68,0,4,189,0,0,0
69,0,4,192,0,0,0
70,0,12,189,0,0,0
71,1,9,198,0,0,0
72,0,13,165,0,0,0
73,0,18,174,0,0,0
74,0,18,162,0,0,0
75,1,10,171,0,0,0
76,1,16,162,0,0,0
77,0,6,150,0,0,0
78,0,1,144,0,0,0
79,1,6,135,0,0,0
80,1,7,162,0,0,0
81,0,11,120,0,0,0
82,0,15,123,0,0,0
83,2,11,159,0,0,0
84,0,6,141,0,0,0
85,0,13,192,0,0,0
86,1,4,165,0,0,0
87,0,1,150,0,0,0
88,1,10,135,0,0,0
89,0,5,162,0,0,0
90,0,2,162,0,0,0
91,0,10,177,0,0,0
92,0,2,141,0,0,0
93,0,9,105,0,0,0
94,1,8,117,0,0,0
95,0,1,141,0,0,0
96,0,3,147,0,0,0
97,1,4,171,0,0,0
98,0,9,156,0,0,0
99,0,4,171,0,0,0
100,0,4,210,0,0,0
101,0,4,186,0,0,0
102,0,6,120,0,0,0
103,1,10,132,0,0,0
104,1,5,150,0,0,0
105,0,7,138,0,0,0
106,1,11,162,0,0,0
107,0,4,153,0,0,0
108,0,5,129,0,0,0
109,1,5,126,0,0,0
110,1,7,138,0,0,0
111,0,6,126,0,0,0
112,0,5,165,0,0,0
113,0,3,87,0,0,0
114,0,3,144,0,0,0
115,0,3,114,0,0,0
116,0,8,147,0,0,0
117,0,5,177,0,0,0
118,0,4,159,0,0,0
119,0,4,162,0,0,0
120,0,2,108,0,0,0
121,0,2,123,0,0,0
122,0,2,120,0,0,0
123,0,3,102,0,0,0
124,0,3,126,0,0,0
125,0,1,111,0,0,0
126,0,4,81,0,0,0
127,1,4,138,0,0,0
128,0,1,117,0,0,0
129,0,3,69,0,0,0
130,0,4,69,0,0,0
131,1,5,69,0,0,0
132,0,3,72,0,0,0
133,0,3,69,0,0,0
134,0,3,132,0,0,0
135,0,1,60,0,0,0
136,0,3,69,0,0,0
137,0,3,87,0,0,0
138,0,5,72,0,0,0
139,0,1,90,0,0,0
140,0,2,81,0,0,0
141,0,1,66,0,0,0
142,0,2,117,0,0,0
143,1,3,93,0,0,0
144,0,1,57,0,0,0
145,0,0,90,0,0,0
146,0,2,75,0,0,0
147,1,3,66,0,0,0
148,0,2,63,0,0,0
149,0,2,63,0,0,0
150,0,1,51,0,0,0
151,0,2,75,0,0,0
152,0,2,81,0,0,0
153,0,0,51,0,0,0
154,0,0,33,0,0,0
155,0,1,45,0,0,0
156,0,3,66,0,0,0
157,0,4,60,0,0,0
158,0,1,84,0,0,0
159,1,5,39,0,0,0
160,0,14,48,0,0,0
161,0,3,45,0,0,0
162,0,3,42,0,0,0
163,0,4,45,0,0,0
164,0,0,27,0,0,0
165,1,5,60,0,0,0
166,0,14,81,0,0,0
167,0,29,42,0,0,0
168,0,19,69,0,0,0
169,0,20,54,0,0,0
170,0,36,33,0,0,0
171,0,34,57,0,0,0
172,0,25,42,0,0,0
173,0,18,42,0,0,0
174,0,11,42,0,0,0
175,0,29,81,0,0,0
176,0,31,90,0,0,0
177,0,21,63,0,0,0
178,0,31,63,0,0,0
179,0,27,84,0,0,0
180,0,24,75,0,0,0
181,0,41,66,0,0,0
182,1,35,51,0,0,0
183,1,40,48,0,0,0
184,4,47,63,0,0,0
185,3,45,57,0,0,0
186,0,45,42,0,0,0
187,2,49,42,0,0,0
188,2,53,75,0,0,0
189,1,40,27,0,0,0
190,1,27,60,0,0,0
191,4,40,57,0,0,0
192,1,64,54,0,0,0
193,3,56,78,0,0,0
194,4,55,69,0,0,0
195,3,47,66,0,0,0
196,5,70,66,0,0,0
197,3,60,51,0,0,0
