access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,946,619897,2799,185,8692,0
2,185,33192,2430,108,395,0
3,23,3518,1773,20,21,0
4,10,3061,1776,3,4,0
5,6,882,1911,2,2,0
6,8,418,1749,1,1,0
7,4,516,1449,1,1,0
8,1,330,1464,0,0,0
9,1,286,1437,0,0,0
10,0,239,1305,0,0,0
11,0,191,1077,0,0,0
12,2,183,834,0,0,0
13,2,126,942,0,0,0
14,1,135,921,1,1,0
15,1,120,702,1,1,0
16,1,137,585,1,1,0
17,0,242,747,0,0,0
18,1,394,585,1,1,0
19,0,618,564,1,1,0
20,1,854,525,2,2,0
21,4,883,486,0,0,0
22,8,860,474,0,0,0
23,18,792,573,0,0,0
24,12,616,375,2,2,0
25,5,463,267,0,0,0
26,0,308,312,1,1,0
27,1,212,252,0,0,0
28,2,143,294,0,0,0
29,1,153,309,0,0,0
30,0,157,297,0,0,0
31,2,190,294,0,0,0
32,2,175,252,0,0,0
33,0,187,246,0,0,0
34,0,173,186,0,0,0
35,0,221,210,0,0,0
36,1,195,246,0,0,0
37,0,175,219,0,0,0
38,0,174,264,0,0,0
39,0,146,189,0,0,0
40,1,107,210,1,1,0
41,1,89,243,0,0,0
42,0,79,291,0,0,0
43,1,72,276,0,0,13458
44,1,67,183,1,1,1221
45,0,72,255,0,0,534
46,0,47,237,0,0,408
47,2,50,228,0,0,312
48,0,42,156,0,0,255
49,0,35,228,0,0,222
50,0,44,1164,0,0,207
51,0,36,1068,0,0,210
52,0,26,990,0,0,189
53,0,47,1653,0,0,177
54,0,23,1593,0,0,189
55,0,26,1359,0,0,192
56,0,41,1305,0,0,165
57,0,24,1440,0,0,153
58,0,25,1113,0,0,144
59,0,44,846,0,0,129
60,0,28,999,0,0,123
61,0,28,834,0,0,105
62,0,32,813,0,0,105
63,1,20,795,0,0,93
64,1,24,651,0,0,90
65,0,13,654,0,0,99
66,0,12,612,0,0,84
67,0,24,639,0,0,96
68,0,20,636,0,0,66
69,0,14,900,0,0,90
70,1,23,843,0,0,69
71,0,29,744,0,0,78
72,1,20,744,0,0,87
73,0,10,804,0,0,75
74,0,28,633,0,0,81
75,0,18,663,0,0,60
76,0,16,660,0,0,102
77,0,21,531,0,0,69
78,1,16,519,0,0,90
79,0,9,582,0,0,102
80,1,27,576,0,0,42
81,0,14,561,0,0,69
82,0,7,621,0,0,57
83,1,20,579,0,0,57
84,0,9,522,0,0,63
85,0,10,429,0,0,45
86,0,14,423,0,0,54
87,0,14,402,0,0,48
88,0,10,441,0,0,42
89,0,19,477,0,0,51
90,0,6,420,0,0,45
91,0,1,399,0,0,51
92,0,13,345,0,0,45
93,0,8,318,0,0,39
94,1,15,387,0,0,57
95,0,14,447,0,0,51
96,0,6,609,0,0,57
97,0,7,552,0,0,45
98,0,11,489,0,0,60
99,0,4,516,0,0,60
100,0,6,435,0,0,81
101,1,8,435,0,0,57
102,0,8,462,0,0,60
103,0,10,432,0,0,45
104,0,15,396,0,0,66
105,0,10,384,0,0,48
106,0,7,411,0,0,45
107,0,5,381,0,0,48
108,0,4,348,0,0,42
109,0,5,318,0,0,39
110,0,7,297,0,0,24
111,0,6,270,0,0,39
112,0,6,285,0,0,30
113,0,11,252,0,15,33
114,0,7,261,0,157,21
115,0,3,234,0,581,21
116,0,5,291,0,1154,24
117,0,10,204,0,2344,36
118,0,2,210,0,4305,33
119,0,2,204,0,6164,24
120,0,6,156,0,7945,24
121,0,3,177,0,8538,30
122,0,5,147,0,9802,27
123,0,7,210,0,9814,30
124,0,2,138,0,8445,36
125,0,2,174,0,6969,18
126,0,10,198,0,5699,27
127,0,4,192,0,4490,24
128,0,5,117,0,3137,30
129,0,6,153,0,2811,27
130,0,2,177,0,2342,48
131,1,3,120,0,2283,33
132,0,3,108,0,2316,42
133,0,5,138,0,2262,30
134,0,2,135,0,2337,66
135,0,7,135,0,2127,21
136,0,2,129,0,2155,39
137,1,3,81,0,1722,24
138,0,3,96,0,1942,39
139,0,5,138,0,1730,30
140,0,6,84,0,1595,18
141,0,4,135,0,1427,33
142,0,4,111,0,1554,15
143,0,3,144,0,1378,48
144,0,7,99,0,1422,27
145,0,2,120,0,1391,27
146,0,3,87,0,1265,36
147,0,5,108,0,1362,30
148,0,3,87,0,1223,39
149,0,2,114,0,1251,48
150,0,3,75,0,1252,48
151,0,7,105,0,1124,27
152,0,2,231,0,1059,30
153,0,4,186,0,1141,33
154,0,0,171,0,909,30
155,0,4,150,0,1078,15
156,0,3,135,0,1077,24
157,0,4,171,0,1062,21
158,0,3,168,0,883,12
159,0,1,114,0,790,6
160,0,1,153,0,775,9
161,0,2,84,0,757,15
162,0,1,117,0,827,6
163,0,4,105,0,832,18
164,0,2,123,0,901,15
165,0,6,114,0,901,18
166,0,2,99,0,752,15
167,0,0,126,0,786,27
168,0,0,108,0,737,6
169,0,4,93,0,669,15
170,0,0,108,0,830,15
171,0,2,84,0,724,12
172,0,1,93,0,946,9
173,0,4,90,0,815,15
174,0,6,111,0,902,24
175,0,3,120,0,939,15
176,0,1,78,0,834,12
177,0,1,81,0,642,18
178,0,0,96,0,728,15
179,0,2,81,0,825,6
180,0,3,81,0,754,6
181,0,0,69,0,663,3
182,0,1,57,0,712,3
183,0,1,90,0,665,15
184,0,1,51,0,558,9
185,0,1,69,0,801,6
186,0,0,72,0,731,9
187,0,2,78,0,647,9
188,0,1,69,0,705,3
189,0,0,72,0,535,18
190,0,1,63,0,638,3
191,0,0,105,0,533,6
192,0,2,75,0,429,3
193,0,0,81,0,651,3
194,0,1,60,0,504,0
195,0,0,39,0,528,0
196,0,3,69,0,652,6
197,0,3,48,0,555,9
198,0,0,81,0,554,3
199,0,1,75,0,679,9
200,0,3,48,0,544,3
201,0,2,42,0,427,0
202,0,2,78,0,382,0
203,0,1,48,0,471,3
204,0,2,30,0,636,3
205,0,1,54,0,546,0
206,0,1,51,0,610,0
207,0,0,45,0,631,6
208,0,1,54,0,609,3
209,0,3,60,0,577,0
210,0,6,60,0,529,0
211,0,3,57,0,523,0
212,0,3,45,0,581,0
213,0,1,72,0,591,0
214,0,5,39,0,541,6
215,0,3,51,0,559,0
216,0,1,51,0,474,0
217,0,0,42,0,512,3
218,0,5,63,0,476,0
219,0,1,39,0,526,0
220,0,0,36,0,525,0
221,0,2,57,0,435,3
222,0,2,42,0,376,3
223,0,0,54,0,328,0
224,0,2,51,0,448,6
225,0,1,45,0,511,0
226,0,2,21,0,414,0
227,0,2,51,0,572,6
228,0,1,45,0,628,3
229,0,1,30,0,461,0
230,0,1,36,0,431,0
231,0,1,39,0,521,3
232,0,1,42,0,374,0
233,0,1,39,0,368,0
234,0,1,66,0,359,0
235,0,2,36,0,356,3
236,0,2,39,0,390,3
237,0,1,51,0,428,3
238,0,4,45,0,402,0
239,0,1,48,0,557,0
240,0,4,39,0,408,3
241,0,3,45,0,399,0
242,0,1,30,0,460,6
243,0,2,45,0,366,0
244,0,5,42,0,526,0
245,0,5,30,0,368,6
246,0,2,42,0,327,6
247,0,6,33,0,265,0
248,0,1,24,0,319,0
249,0,2,30,0,327,0
250,0,1,30,0,261,0
251,0,2,12,0,338,3
252,0,0,33,0,359,3
253,0,2,33,0,391,0
254,0,0,30,0,405,3
255,0,1,36,0,440,0
256,0,1,21,0,367,6
257,0,0,24,0,405,0
258,0,1,30,0,405,3
259,0,1,24,0,324,0
260,0,1,42,0,410,0
261,0,1,36,0,326,0
262,0,0,18,0,249,0
263,0,0,30,0,219,0
264,0,0,24,0,343,0
265,0,0,33,0,287,0
266,0,0,36,0,340,0
267,0,0,36,0,283,0
268,0,2,27,0,320,0
269,0,0,15,0,291,0
270,0,0,15,0,356,3
271,0,0,30,0,228,0
272,0,2,33,0,255,0
273,0,0,45,0,271,3
274,0,0,12,0,275,0
275,0,0,21,0,313,0
276,0,1,15,0,297,3
277,0,0,27,0,245,0
278,0,0,21,0,284,0
