access,reuse distance for all0,reuse distance for all1
1,259292,8660
2,24075,427
3,28674,100
4,28960,37
5,11387,4
6,5660,1
7,3654,0
8,2827,1
9,2514,0
10,1124,0
11,771,0
12,551,0
13,611,0
14,620,0
15,542,0
16,1136,0
17,1009,0
18,786,0
19,1023,0
20,1303,0
21,1675,0
22,846,0
23,696,0
24,777,0
25,517,0
26,446,0
27,390,0
28,377,0
29,331,0
30,318,0
31,268,0
32,322,0
33,334,0
34,298,0
35,303,0
36,231,0
37,250,0
38,214,0
39,188,0
40,192,0
41,202,0
42,194,0
43,220,0
44,205,0
45,197,0
46,164,0
47,152,0
48,131,0
49,135,0
50,141,0
51,185,0
52,170,0
53,183,0
54,194,0
55,171,0
56,166,0
57,148,0
58,175,0
59,159,0
60,156,0
61,134,0
62,129,0
63,140,0
64,116,0
65,114,0
66,135,0
67,132,0
68,130,0
69,102,0
70,131,0
71,127,0
72,122,0
73,132,0
74,125,0
75,243,0
76,247,0
77,290,0
78,254,0
79,220,0
80,152,0
81,133,0
82,86,0
83,211,0
84,123,0
85,114,0
86,125,0
87,95,0
88,86,0
89,89,0
90,63,0
91,73,0
92,80,0
93,71,0
94,64,0
95,79,0
96,65,0
97,80,0
98,113,0
99,235,0
100,346,0
101,386,0
102,358,0
103,404,0
104,396,0
105,329,0
106,238,0
107,215,0
108,150,0
109,117,0
110,109,0
111,107,0
112,129,0
113,121,0
114,120,0
115,96,0
116,99,0
117,108,0
118,96,0
119,112,3
120,91,8
121,101,4
122,109,25
123,119,26
124,121,31
125,140,49
126,141,54
127,189,74
128,231,91
129,212,213
130,191,359
131,152,503
132,126,709
133,129,944
134,137,1222
135,151,1332
136,130,1572
137,106,1471
138,121,1398
139,112,1346
140,103,1286
141,93,1279
142,92,1394
143,88,1146
144,86,1344
145,80,1254
146,97,1301
147,74,1355
148,69,1249
149,75,1234
150,75,1307
151,57,1396
152,73,1422
153,60,1372
154,86,1547
155,75,1807
156,78,2217
157,73,2659
158,94,3084
159,77,3586
160,86,3851
161,81,3983
162,76,4206
163,84,4318
164,82,4316
165,67,4097
166,79,4033
167,62,3745
168,69,3602
169,71,3285
170,72,2911
171,88,2691
172,82,2474
173,86,2502
174,79,2335
175,74,2151
176,63,2182
177,57,1991
178,72,2078
179,55,2186
180,49,2071
181,55,2095
182,68,2065
183,47,2161
184,50,2274
185,49,2388
186,60,2222
187,69,2469
188,76,2498
189,59,2639
190,71,2756
191,69,2795
192,76,2715
193,66,2803
194,71,2798
195,63,2902
196,79,2619
197,79,2407
198,70,2418
199,92,2234
200,65,2146
201,80,2009
202,75,1966
203,49,1789
204,52,1753
205,51,1729
206,50,1602
207,30,1532
208,48,1541
209,43,1459
210,54,1434
211,45,1423
212,44,1555
213,43,1344
214,41,1442
215,46,1316
216,37,1399
217,39,1217
218,40,1219
219,42,1226
220,40,1210
221,41,1081
222,36,1147
223,44,1047
224,44,1072
225,35,1019
226,49,1040
227,27,945
228,36,957
229,31,921
230,32,899
231,37,986
232,37,897
233,33,882
234,24,862
235,27,913
236,23,847
237,21,817
238,34,834
239,31,792
240,22,857
241,33,780
242,23,831
243,44,749
244,23,763
245,39,780
246,36,821
247,28,706
248,18,748
249,31,773
250,26,771
251,26,723
252,23,728
253,28,625
254,40,663
255,34,679
256,20,789
257,25,735
258,29,627
259,21,610
260,28,642
261,18,588
262,23,623
263,16,578
264,23,596
265,23,599
266,20,614
267,17,545
268,17,508
269,16,491
270,15,514
271,23,515
272,18,503
273,31,518
274,20,517
275,18,472
276,17,516
277,15,521
278,13,450
279,18,436
280,14,476
281,15,454
282,20,467
283,20,425
284,21,457
285,20,403
286,11,429
287,16,482
288,18,476
289,16,423
290,8,437
291,17,400
292,12,494
293,11,433
294,9,433
295,12,492
296,11,447
297,15,449
298,9,456
299,11,432
300,16,375
301,11,379
302,14,354
303,4,354
304,7,315
305,7,334
306,9,299
307,8,309
308,5,319
309,13,299
310,12,251
311,12,280
312,13,310
313,10,308
314,6,272
315,13,248
316,8,253
317,9,245
318,9,228
319,8,179
320,10,260
321,4,193
322,8,249
323,7,211
324,3,212
325,6,223
326,8,225
327,5,224
328,4,209
329,9,191
330,4,208
331,9,190
332,5,183
333,7,189
334,6,189
335,6,197
336,2,158
337,5,156
338,8,153
339,4,140
340,8,155
341,4,181
342,4,161
343,3,145
344,5,129
345,7,138
346,5,142
347,5,147
348,10,142
349,4,131
350,9,141
351,9,124
352,4,150
353,1,144
354,9,150
355,3,146
356,8,156
357,6,127
358,9,121
359,3,137
360,2,104
361,7,111
362,5,109
363,4,106
364,1,115
365,8,103
366,2,78
367,1,122
368,4,93
369,3,82
370,4,83
371,7,103
372,4,94
373,2,99
374,0,71
375,4,70
376,3,86
377,4,83
378,4,94
379,5,94
380,3,83
381,6,88
382,3,93
383,2,109
384,2,82
385,3,93
386,5,72
387,3,79
388,2,102
389,5,80
390,1,80
391,2,74
392,2,72
393,6,80
394,0,100
395,1,65
396,1,73
397,1,55
398,1,83
399,2,81
400,0,61
401,1,66
402,2,66
403,3,66
404,1,63
405,2,69
406,2,41
407,0,48
408,0,64
409,0,42
410,1,47
411,1,49
412,6,73
413,0,68
414,3,48
415,1,40
416,0,51
417,1,50
418,0,55
419,3,49
420,1,45
421,1,44
422,2,45
423,0,38
424,2,43
425,2,66
426,3,60
427,0,44
428,0,44
429,2,21
430,2,45
431,1,32
432,1,24
433,0,28
434,0,34
435,1,31
436,1,27
437,1,30
438,2,21
439,3,28
440,0,26
441,0,60
442,1,18
443,1,20
444,1,16
445,1,23
446,1,15
447,1,10
448,1,7
449,0,10
450,1,12
451,1,10
452,1,15
453,0,15
454,0,15
455,0,10
456,0,11
457,0,10
458,0,14
459,1,22
460,0,11
461,1,19
462,0,13
463,0,18
464,2,25
465,0,16
466,0,11
467,0,15
468,0,16
469,1,14
470,0,10
471,0,10
472,0,8
473,0,6
474,3,9
475,0,8
476,1,11
477,0,9
478,2,16
479,0,13
480,1,16
481,1,27
482,1,27
483,0,18
484,0,14
485,0,11
486,1,9
487,1,6
488,2,18
489,0,10
490,1,13
491,0,24
492,0,9
493,0,12
494,0,14
495,0,22
496,1,23
497,1,29
498,1,8
499,0,13
500,2,15
501,0,17
502,0,12
503,0,9
504,2,7
505,0,11
506,0,7
507,1,9
508,0,11
509,1,11
510,0,14
511,0,13
512,1,16
513,0,8
514,0,15
515,2,19
516,0,13
517,0,17
518,0,14
519,0,9
520,0,8
521,0,6
522,0,7
523,0,5
524,0,6
525,0,19
526,0,12
527,0,17
528,0,10
529,0,8
530,0,3
531,1,17
532,0,8
533,1,11
534,1,6
535,0,6
536,2,10
537,0,6
538,0,5
539,1,6
540,1,7
541,1,10
542,0,9
543,0,3
544,0,11
545,0,10
546,0,8
547,0,8
548,1,9
549,0,8
550,0,12
551,0,7
552,1,8
553,1,20
554,0,7
555,0,5
556,1,3
557,0,3
558,0,3
559,0,2
560,0,4
561,1,8
562,0,10
563,0,5
564,0,6
565,0,3
566,1,5
567,0,5
568,0,7
569,0,2
570,0,6
571,0,5
572,0,4
573,0,2
574,1,2
575,0,3
576,1,6
577,1,9
578,0,2
579,1,2
580,0,2
581,0,1
582,0,5
583,0,7
584,0,4
585,0,5
586,0,4
587,0,1
588,0,2
589,0,1
590,1,5
591,0,7
592,0,0
593,0,2
594,0,3
595,1,4
596,0,6
597,1,4
598,0,5
599,0,8
600,0,4
601,0,5
602,0,5
603,0,3
604,1,8
605,2,4
606,0,28
607,0,9
608,1,5
609,0,7
610,0,9
611,1,5
612,0,15
613,0,12
614,1,8
615,0,10
616,0,5
617,0,8
618,0,8
619,1,4
620,0,4
621,1,6
622,0,9
623,0,5
624,0,6
625,0,5
626,0,3
627,0,3
628,1,2
629,0,1
630,0,0
631,0,1
632,1,8
633,0,1
634,0,6
635,0,5
636,0,2
637,0,2
638,0,2
639,0,4
640,0,0
641,0,1
642,1,3
643,0,4
644,0,3
645,0,2
646,2,1
647,0,0
648,1,2
649,0,10
650,1,3
651,0,4
652,0,1
653,0,4
654,0,10
655,0,3
656,0,8
657,0,6
658,0,14
659,0,15
660,0,8
661,0,4
662,0,2
663,0,9
664,0,5
665,0,6
666,0,4
667,0,1
668,1,6
669,1,5
670,1,4
671,2,2
672,1,2
673,0,5
674,0,17
675,0,3
676,0,3
677,0,5
678,0,4
679,0,1
680,0,3
681,0,2
682,0,5
683,0,4
684,0,3
685,0,3
686,0,4
687,1,0
688,0,2
689,0,0
690,0,1
691,0,1
692,1,1
693,0,4
694,0,1
695,0,1
696,0,1
697,0,0
698,1,5
699,0,4
700,1,5
701,0,1
702,0,6
703,1,6
704,0,12
705,1,10
706,0,7
707,0,9
708,0,8
709,1,15
710,0,11
711,1,7
712,0,6
713,0,3
714,0,3
715,1,4
716,0,3
717,0,3
718,0,2
719,0,0
720,0,0
721,0,0
