access,reuse distance for all0,reuse distance for all1
1,257069,8625
2,23913,433
3,28494,96
4,28502,38
5,11680,4
6,5638,1
7,3818,1
8,2581,0
9,2773,0
10,1063,0
11,781,0
12,501,0
13,740,0
14,494,0
15,586,0
16,980,0
17,1101,0
18,666,0
19,1067,0
20,982,0
21,1356,0
22,1327,0
23,839,0
24,774,0
25,569,0
26,398,0
27,405,0
28,377,0
29,346,0
30,333,0
31,288,0
32,260,0
33,335,0
34,335,0
35,301,0
36,247,0
37,226,0
38,217,0
39,178,0
40,195,0
41,188,0
42,194,0
43,218,0
44,200,0
45,185,0
46,200,0
47,176,0
48,140,0
49,107,0
50,132,0
51,148,0
52,170,0
53,182,0
54,168,0
55,177,0
56,157,0
57,150,0
58,173,0
59,164,0
60,156,0
61,152,0
62,138,0
63,132,0
64,126,0
65,100,0
66,109,0
67,139,0
68,145,0
69,127,0
70,119,0
71,113,0
72,122,0
73,134,0
74,166,0
75,199,0
76,202,0
77,241,0
78,310,0
79,256,0
80,162,0
81,119,0
82,109,0
83,94,0
84,203,0
85,157,0
86,111,0
87,107,0
88,99,0
89,98,0
90,100,0
91,80,0
92,62,0
93,71,0
94,80,0
95,68,0
96,82,0
97,72,0
98,131,0
99,215,0
100,336,0
101,380,0
102,365,0
103,389,0
104,332,0
105,319,0
106,254,0
107,201,0
108,167,0
109,128,0
110,100,0
111,109,0
112,108,0
113,132,0
114,113,0
115,116,0
116,105,0
117,100,0
118,92,0
119,95,3
120,98,6
121,102,4
122,98,13
123,119,29
124,119,35
125,125,66
126,139,67
127,144,98
128,179,136
129,218,309
130,220,430
131,196,624
132,167,761
133,128,1057
134,125,1328
135,133,1467
136,123,1709
137,113,1438
138,101,1382
139,122,1279
140,117,1283
141,96,1311
142,85,1359
143,88,1155
144,78,1392
145,93,1237
146,76,1328
147,87,1300
148,76,1231
149,76,1296
150,62,1369
151,78,1330
152,68,1397
153,70,1437
154,75,1658
155,68,1903
156,86,2394
157,77,2857
158,79,3349
159,80,3760
160,95,4000
161,76,4138
162,70,4395
163,85,4392
164,74,4297
165,90,4196
166,73,3909
167,66,3690
168,58,3466
169,73,3070
170,71,2788
171,63,2564
172,74,2451
173,94,2452
174,80,2293
175,93,2131
176,71,2170
177,71,2015
178,61,2035
179,63,2173
180,57,2124
181,52,2172
182,54,2076
183,51,2229
184,50,2363
185,63,2482
186,40,2293
187,68,2654
188,68,2561
189,64,2755
190,75,2931
191,59,2852
192,73,2952
193,56,2830
194,76,2891
195,66,2878
196,60,2525
197,61,2451
198,82,2258
199,73,2153
200,79,2019
201,65,2083
202,88,1875
203,78,1699
204,66,1771
205,44,1695
206,51,1570
207,40,1478
208,40,1545
209,39,1438
210,54,1441
211,34,1496
212,42,1532
213,48,1390
214,49,1412
215,43,1279
216,38,1277
217,47,1225
218,39,1219
219,35,1239
220,33,1203
221,31,1124
222,39,1128
223,32,1031
224,50,1100
225,36,988
226,33,1030
227,43,975
228,34,972
229,21,1030
230,32,915
231,23,1017
232,38,905
233,29,913
234,30,851
235,21,917
236,28,908
237,27,845
238,18,778
239,29,818
240,24,830
241,20,802
242,21,844
243,22,754
244,36,799
245,31,770
246,37,799
247,29,708
248,30,733
249,29,760
250,27,750
251,26,687
252,25,665
253,19,598
254,29,682
255,43,725
256,30,737
257,24,673
258,22,590
259,26,641
260,20,646
261,20,590
262,22,595
263,19,592
264,12,569
